Nro_Orden_Establecimiento;Periodo;IDDEPTO;CODSEDE;Sede;CODSUBSEDE;Subsede;NOVEDAD;ESTADO
296886268;2013;5;6;Medellín;6;Medellín;99;5
451504;2013;5;6;Medellín;6;Medellín;99;5
297826643;2013;5;6;Medellín;6;Medellín;99;5
452356;2013;5;6;Medellín;6;Medellín;99;5
297718296;2013;5;6;Medellín;6;Medellín;99;5
297826775;2013;5;6;Medellín;6;Medellín;99;5
297839795;2013;5;6;Medellín;6;Medellín;99;5
297819166;2013;88;1;Barranquilla;22;San Andrés;99;5
451499;2013;5;6;Medellín;6;Medellín;99;5
452297;2013;5;6;Medellín;6;Medellín;99;5
452330;2013;5;6;Medellín;6;Medellín;99;5
297718304;2013;5;6;Medellín;6;Medellín;99;5
297823386;2013;5;6;Medellín;6;Medellín;99;5
297823000;2013;5;6;Medellín;6;Medellín;99;5
297823579;2013;5;6;Medellín;6;Medellín;99;5
297823739;2013;5;6;Medellín;6;Medellín;99;5
452170;2013;5;6;Medellín;6;Medellín;99;5
452474;2013;5;6;Medellín;6;Medellín;99;5
297823404;2013;5;6;Medellín;6;Medellín;99;5
297718335;2013;5;6;Medellín;6;Medellín;99;5
411323;2013;5;6;Medellín;6;Medellín;99;5
443827;2013;5;6;Medellín;6;Medellín;99;5
2506951;2013;5;6;Medellín;6;Medellín;99;5
445470;2013;5;6;Medellín;6;Medellín;99;5
297823428;2013;5;6;Medellín;6;Medellín;99;5
297823893;2013;5;6;Medellín;6;Medellín;99;5
444270;2013;5;6;Medellín;6;Medellín;99;5
297839768;2013;11;6;Medellín;6;Medellín;99;5
299303370;2013;5;6;Medellín;6;Medellín;99;5
10400085;2013;5;6;Medellín;6;Medellín;99;5
451490;2013;66;5;Manizales;7;Pereira;99;5
297839503;2013;66;5;Manizales;7;Pereira;99;5
452201;2013;66;5;Manizales;7;Pereira;99;5
297826921;2013;66;5;Manizales;7;Pereira;99;5
297730463;2013;66;5;Manizales;7;Pereira;99;5
297826808;2013;66;5;Manizales;7;Pereira;99;5
444234;2013;76;5;Manizales;7;Pereira;99;5
297822881;2013;66;5;Manizales;7;Pereira;99;5
442868;2013;52;4;Cali;14;Pasto;99;5
452303;2013;66;5;Manizales;7;Pereira;99;5
455706;2013;63;5;Manizales;8;Armenia;99;5
297826721;2013;63;5;Manizales;8;Armenia;99;5
297826981;2013;63;5;Manizales;8;Armenia;99;5
455775;2013;63;5;Manizales;8;Armenia;99;5
298581;2013;63;5;Manizales;8;Armenia;99;5
297826797;2013;13;1;Barranquilla;9;Cartagena;99;5
297827001;2013;13;1;Barranquilla;9;Cartagena;99;5
9815993;2013;13;1;Barranquilla;16;Santa Marta;99;5
9815995;2013;13;1;Barranquilla;22;San Andrés;99;5
296914001;2013;13;1;Barranquilla;9;Cartagena;99;5
296914050;2013;13;1;Barranquilla;22;San Andrés;99;5
297826809;2013;13;1;Barranquilla;9;Cartagena;99;5
297826810;2013;13;1;Barranquilla;9;Cartagena;99;5
299303286;2013;13;1;Barranquilla;9;Cartagena;99;5
297826876;2013;13;1;Barranquilla;9;Cartagena;99;5
297826879;2013;13;1;Barranquilla;9;Cartagena;99;5
296886257;2013;13;1;Barranquilla;9;Cartagena;99;5
297827968;2013;13;1;Barranquilla;9;Cartagena;99;5
296886212;2013;13;1;Barranquilla;9;Cartagena;99;5
297826719;2013;13;1;Barranquilla;9;Cartagena;99;5
297718273;2013;13;1;Barranquilla;9;Cartagena;99;5
297826971;2013;13;1;Barranquilla;9;Cartagena;99;5
297826877;2013;13;1;Barranquilla;9;Cartagena;99;5
441879;2013;13;1;Barranquilla;9;Cartagena;99;5
312167;2013;13;1;Barranquilla;9;Cartagena;99;5
9816010;2013;13;1;Barranquilla;9;Cartagena;99;5
374311;2013;13;1;Barranquilla;9;Cartagena;99;5
297718327;2013;13;1;Barranquilla;9;Cartagena;99;5
297820391;2013;13;1;Barranquilla;9;Cartagena;99;5
297818576;2013;13;1;Barranquilla;9;Cartagena;99;5
299303292;2013;13;1;Barranquilla;9;Cartagena;99;5
299303278;2013;13;1;Barranquilla;9;Cartagena;99;5
452424;2013;13;1;Barranquilla;9;Cartagena;99;5
441848;2013;13;1;Barranquilla;9;Cartagena;99;5
394535;2013;13;1;Barranquilla;9;Cartagena;99;5
409328;2013;11;1;Barranquilla;9;Cartagena;99;5
441881;2013;13;1;Barranquilla;9;Cartagena;99;5
297822760;2013;13;1;Barranquilla;9;Cartagena;99;5
9798639;2013;13;1;Barranquilla;9;Cartagena;99;5
406282;2013;13;1;Barranquilla;9;Cartagena;99;5
441855;2013;13;1;Barranquilla;9;Cartagena;99;5
299304552;2013;13;1;Barranquilla;9;Cartagena;99;5
