Nro_Orden_Establecimiento;Periodo;C6GAA2ab;C6GAA1e;C6GAA2d;C6GAA2f;C6GAA2g;C6GAA2h;C6GAA2i;TOTALGAA;C6GAAB1a;C6GAAB1b;C6GAAB1c;C6GAAB1d;C6GAAB2a;C6GAAB2b;C6GAAB2c;C6GAAB2d;C6GAAB3a;C6GAAB3b;C6GAAB3c;C6GAAB3d;C6GAAB4a;C6GAAB4b;C6GAAB4c;C6GAAB4d;POTPSFR;C6AAC1d;POTPERM;C6AAC2d;POTTCDE;C6AAC3d;POTTCAG;C6AAC4d;POTPAU;C6AAC5d;POTTOT;C6AAC6dT;GPPSI;GPPER;GPPPSP;GPPPST;GPPCPO;GPPANO;GPPAVO;GPPGPA;GPPGPN;GPPTPOT;GPPPTA;C6AAC1bRPA;C6AAC2bRPA;C6AAC3bRPA;C6AAC4bRPA;C6AAC5bRPA;C6AAC6bRPA;C6AAC7bRPA;C6AAC8bRPA;C6AAC9bRPA;C6AAC10bTRPA;C6AAC11bRPA;C6AA12bPSAAA;CODSEDE;Sede;CODSUBSEDE;Subsede;NOVEDAD;ESTADO
297838044;2013;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;13;0;0;0;16;0;1;0;30;0;0;236515;59242;0;46789;21286;0;6786;64008;434626;271584;0;0;0;0;0;0;0;0;0;0;0;0;2;Bogotá;17;Tunja;99;5
409910;2013;0;0;0;1000;0;0;0;1000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;23;2;10;0;0;0;2;0;35;2;0;337063;98421;102702;92067;30336;0;10124;0;670713;0;0;7074;2038;0;2023;545;0;0;0;11680;0;0;5;Manizales;11;Ibagué;99;5
450883;2013;0;0;0;0;0;0;0;0; ;b;21/04/2010;20/04/2016; ; ; ; ; ; ; ; ; ; ; ; ;0;0;53;0;0;0;7;0;2;0;62;0;0;874314;417101;0;169356;50948;0;7400;54278;1573397;74266;0;0;0;0;0;0;0;0;0;0;33314;0;2;Bogotá;2;Bogotá;99;5
297839484;2013;0;0;0;2660;1700;0;0;4360; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;47;0;16;0;0;0;1;1;64;1;86210;631620;144128;215755;157644;69478;0;6436;79153;1390424;0;0;0;0;0;0;0;0;5035;0;5035;0;0;2;Bogotá;2;Bogotá;99;5
299303284;2013;0;0;0;31133;0;350;PARQUE SALITRE (PARQUE EN ADOPCIÓN POR EL HOTEL);31483; ; ; ; ; ; ; ; ; ;b;14/11/2011;11/11/2014; ; ; ; ;0;0;5;0;222;0;9;0;10;0;246;0;88264;288891;60696;3698651;729758;204662;0;45448;417793;5534163;183338;0;0;0;0;0;0;0;0;0;0;0;0;2;Bogotá;2;Bogotá;99;5
337133;2013;0;0;0;2000;0;0;0;2000;a; ; ; ;a; ; ; ;a; ; ; ;a; ; ; ;0;0;49;0;0;0;2;0;2;0;53;0;150585;668965;172650;0;151178;59000;0;11290;87733;1301401;19999;0;0;0;0;0;0;0;0;0;0;0;0;2;Bogotá;2;Bogotá;99;5
75000;2013;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;5;0;0;0;5;0;0;0;10;0;0;35000;8437;0;7718;3000;0;0;1803;55958;51324;0;0;0;0;0;0;0;0;0;0;0;0;1;Barranquilla;16;Santa Marta;99;5
75007;2013;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;1;0;0;0;6;0;0;0;7;0;0;27832;5570;0;4455;1980;0;0;4306;44143;106184;0;0;0;0;0;0;0;0;0;0;0;0;2;Bogotá;2;Bogotá;99;5
410376;2013;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;9;0;0;0;10;0;0;0;19;0;0;121880;28880;0;28338;9000;0;0;22598;210696;156851;0;0;0;0;0;0;0;0;0;0;0;0;1;Barranquilla;16;Santa Marta;99;5
296886229;2013;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;16;0;0;0;39;0;1;1;56;1;0;123274;28569;0;26168;9000;0;3630;13812;204453;504087;0;0;0;0;0;0;0;3630;0;3630;0;0;1;Barranquilla;16;Santa Marta;99;5
