Nro_Orden_Establecimiento;Periodo;CODSEDE;Sede;CODSUBSEDE;Subsede;NOVEDAD;ESTADO
297821128;2015;2;Bogotá;2;Bogotá;99;5
297718298;2015;2;Bogotá;2;Bogotá;99;5
297826003;2015;2;Bogotá;2;Bogotá;99;5
297827332;2015;2;Bogotá;2;Bogotá;99;5
446751;2015;2;Bogotá;91;Leticia;99;5
299304550;2015;2;Bogotá;2;Bogotá;99;5
297827324;2015;2;Bogotá;2;Bogotá;99;5
299304637;2015;2;Bogotá;2;Bogotá;99;5
10211393;2015;2;Bogotá;2;Bogotá;99;5
300037392;2015;4;Cali;4;Cali;99;5
299303375;2015;2;Bogotá;2;Bogotá;99;5
299320035;2015;2;Bogotá;2;Bogotá;99;5
10213095;2015;2;Bogotá;2;Bogotá;99;5
10213096;2015;2;Bogotá;2;Bogotá;99;5
10213097;2015;2;Bogotá;2;Bogotá;99;5
10213101;2015;2;Bogotá;2;Bogotá;99;5
10213102;2015;2;Bogotá;2;Bogotá;99;5
10213098;2015;2;Bogotá;2;Bogotá;99;5
297820720;2015;2;Bogotá;2;Bogotá;99;5
460017;2015;2;Bogotá;2;Bogotá;99;5
297566684;2015;2;Bogotá;2;Bogotá;99;5
297837484;2015;2;Bogotá;2;Bogotá;99;5
298405690;2015;2;Bogotá;2;Bogotá;99;5
299303362;2015;2;Bogotá;2;Bogotá;99;5
10213315;2015;2;Bogotá;2;Bogotá;99;5
10213316;2015;2;Bogotá;2;Bogotá;99;5
296886227;2015;2;Bogotá;2;Bogotá;99;5
3621102;2015;2;Bogotá;18;Villavicencio;99;5
10213440;2015;2;Bogotá;2;Bogotá;99;5
452147;2015;3;Bucaramanga;3;Bucaramanga;99;5
296886218;2015;3;Bucaramanga;3;Bucaramanga;99;5
297839501;2015;2;Bogotá;2;Bogotá;99;5
382102;2015;3;Bucaramanga;3;Bucaramanga;99;5
297826761;2015;3;Bucaramanga;3;Bucaramanga;99;5
296914019;2015;3;Bucaramanga;3;Bucaramanga;99;5
297826917;2015;3;Bucaramanga;3;Bucaramanga;99;5
297826729;2015;3;Bucaramanga;3;Bucaramanga;99;5
297826888;2015;3;Bucaramanga;3;Bucaramanga;99;5
297826958;2015;3;Bucaramanga;3;Bucaramanga;99;5
452268;2015;3;Bucaramanga;3;Bucaramanga;99;5
452269;2015;3;Bucaramanga;3;Bucaramanga;99;5
407128;2015;3;Bucaramanga;3;Bucaramanga;99;5
297826915;2015;3;Bucaramanga;3;Bucaramanga;99;5
297827245;2015;3;Bucaramanga;3;Bucaramanga;99;5
420510;2015;3;Bucaramanga;3;Bucaramanga;99;5
299304638;2015;3;Bucaramanga;3;Bucaramanga;99;5
297823964;2015;3;Bucaramanga;3;Bucaramanga;99;5
297822876;2015;3;Bucaramanga;3;Bucaramanga;99;5
444344;2015;3;Bucaramanga;3;Bucaramanga;99;5
297824118;2015;3;Bucaramanga;3;Bucaramanga;99;5
297827338;2015;3;Bucaramanga;3;Bucaramanga;99;5
297819782;2015;3;Bucaramanga;3;Bucaramanga;99;5
452141;2015;3;Bucaramanga;3;Bucaramanga;99;5
444253;2015;3;Bucaramanga;3;Bucaramanga;99;5
452143;2015;3;Bucaramanga;3;Bucaramanga;99;5
299304551;2015;3;Bucaramanga;3;Bucaramanga;99;5
300037454;2015;3;Bucaramanga;3;Bucaramanga;99;5
297820704;2015;3;Bucaramanga;3;Bucaramanga;99;5
297822007;2015;3;Bucaramanga;3;Bucaramanga;99;5
297827422;2015;3;Bucaramanga;3;Bucaramanga;99;5
10300919;2015;3;Bucaramanga;3;Bucaramanga;99;5
299304639;2015;3;Bucaramanga;3;Bucaramanga;99;5
299304641;2015;3;Bucaramanga;3;Bucaramanga;99;5
299304642;2015;3;Bucaramanga;3;Bucaramanga;99;5
297838190;2015;4;Cali;4;Cali;99;5
10400052;2015;4;Cali;4;Cali;99;5
455239;2015;4;Cali;4;Cali;99;5
297826717;2015;4;Cali;4;Cali;99;5
297826765;2015;4;Cali;4;Cali;99;5
297821302;2015;4;Cali;4;Cali;99;5
297826771;2015;4;Cali;4;Cali;99;5
297821622;2015;4;Cali;4;Cali;99;5
104000;2015;2;Bogotá;18;Villavicencio;99;5
400082;2015;2;Bogotá;18;Villavicencio;99;5
452422;2015;5;Manizales;5;Manizales;99;5
452426;2015;5;Manizales;11;Ibagué;99;5
9807415;2015;2;Bogotá;2;Bogotá;99;5
10400082;2015;3;Bucaramanga;3;Bucaramanga;99;5
296886245;2015;6;Medellín;6;Medellín;99;5
296886246;2015;2;Bogotá;2;Bogotá;99;5
296886247;2015;2;Bogotá;2;Bogotá;99;5
296886248;2015;5;Manizales;5;Manizales;99;5
296886250;2015;1;Barranquilla;16;Santa Marta;99;5
297718282;2015;1;Barranquilla;9;Cartagena;99;5
297730369;2015;2;Bogotá;2;Bogotá;99;5
297730371;2015;2;Bogotá;2;Bogotá;99;5
297730372;2015;2;Bogotá;2;Bogotá;99;5
297730373;2015;1;Barranquilla;1;Barranquilla;99;5
297730375;2015;6;Medellín;6;Medellín;99;5
