Nro_Orden_Establecimiento;Periodo;C5REA1;C5REA2;C5REA3;C5REA4;C5REA9;C5REA5;C5REA6;C5REA7;C5REA8;C5REA10;C6GAA2e;C6GAA1b;TORAENER;C5REB1a;C5REB1b;C5REB2a;C5REB2b;C5REB3a;C5REB3b;C5REB16a;C5REB16b;C5REB4a;C5REB4b;C5REB5a;C5REB5b;C5REB6a;C5REB6b;C5REB7a;C5REB7b;C5REB8a;C5REB8b;C5REB9a;C5REB9b;C5REB10a;C5REB10b;C5REB11a;C5REB12a;C5REB13a;C5REB14a;C5REB15a;C5REB15b;C5REB17a;C5REB17b;CONBIOGAS;C5REB18b;CODSEDE;Sede;CODSUBSEDE;Subsede;NOVEDAD;ESTADO
297826953;2015;0;0;0;150;1000;150;0;0;0;12000;0;0;13300;796571;286000;14007;19340;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;305340;1;Barranquilla;1;Barranquilla;99;5
297826792;2015;0;0;0;0;0;0;0;0;0;0;0;0;0;992054;444972;33652;41296;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;486268;1;Barranquilla;1;Barranquilla;99;5
296886290;2015;0;0;0;1705;0;0;0;0;0;0;0;0;1705;500016;139004;25087;25338;0;0;0;0;10;78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9100;0;0;0;0;0;164420;1;Barranquilla;9;Cartagena;99;5
9816110;2015;0;0;0;507;0;0;0;0;0;0;0;0;507;585336;199429;24850;32305;0;0;0;0;500;3650;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;320;0;0;0;0;0;235384;1;Barranquilla;1;Barranquilla;99;5
9815988;2015;0;0;0;0;0;0;0;0;0;6783;0;0;6783;438336;143183;16164;16474;0;0;0;0;12;1532;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;161189;1;Barranquilla;1;Barranquilla;99;5
297826722;2015;0;0;0;3400;3520;930;0;0;0;3200;0;0;11050;349600;109431;7850;6940;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;116371;1;Barranquilla;1;Barranquilla;99;5
297827969;2015;0;0;0;1000;0;0;0;0;0;0;0;0;1000;156420;48443;5084;5534;0;0;0;0;25;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54177;1;Barranquilla;1;Barranquilla;99;5
297819041;2015;0;0;0;0;0;0;0;0;0;0;0;0;0;1415053;425003;50385;62069;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;487072;1;Barranquilla;1;Barranquilla;99;5
452218;2015;44000;0;0;7089;0;0;0;0;0;9628;0;250;60967;582342;186617;64224;63865;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;250482;1;Barranquilla;1;Barranquilla;99;5
441772;2015;0;0;0;4200;2400;0;0;0;0;0;0;0;6600;447368;187000;15640;21307;0;0;3500;26350;250;2500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;237157;1;Barranquilla;1;Barranquilla;99;5
441802;2015;0;0;0;0;1335;0;0;0;0;12183;0;0;13518;603730;265756;31220;40587;0;0;0;0;53;6145;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;312488;1;Barranquilla;1;Barranquilla;99;5
408986;2015;0;0;0;951;0;0;0;0;0;0;0;0;951;413349;98122;6144;6714;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;104836;1;Barranquilla;1;Barranquilla;99;5
441854;2015;0;0;0;1608;2799;0;0;0;0;0;0;0;4407;277560;136880;6289;9434;0;0;0;0;1647;11529;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;157843;1;Barranquilla;1;Barranquilla;99;5
10101150;2015;0;2000;0;2000;4000;0;0;0;0;0;0;0;8000;77622;27167;10625;13812;0;0;0;0;12;85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6000;0;0;0;0;0;41064;1;Barranquilla;1;Barranquilla;99;5
297827591;2015;0;0;0;4790;0;0;0;0;0;3450;0;0;8240;610812;232737;26184;43663;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;276400;1;Barranquilla;1;Barranquilla;99;5
300470906;2015;0;0;0;0;105;0;0;0;0;0;0;0;105;1000788;377947;43658;56787;0;0;0;0;1080;8640;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;443374;1;Barranquilla;1;Barranquilla;99;5
10101289;2015;0;0;0;3685;2520;0;0;0;0;0;0;0;6205;1608200;626635;18308;22192;0;0;0;0;2026;20971;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;669798;1;Barranquilla;1;Barranquilla;99;5
300470907;2015;0;0;0;3800;1000;2500;0;0;0;1500;0;1800;10600;353142;148320;21408;31140;0;0;0;0;112;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;180460;1;Barranquilla;1;Barranquilla;99;5
300470908;2015;0;0;0;0;2800;0;0;0;0;0;0;0;2800;316800;148919;9821;11679;0;0;0;0;111;780;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1320;0;0;0;0;0;161378;1;Barranquilla;1;Barranquilla;99;5
300470909;2015;0;0;0;0;0;0;0;0;0;0;0;0;0;46200;21604;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21604;1;Barranquilla;1;Barranquilla;99;5
300470910;2015;35000;0;0;7889;0;0;0;0;0;10880;0;200;53969;158961;66764;3576;4650;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71414;1;Barranquilla;1;Barranquilla;99;5
1771148;2015;0;0;0;1500;2500;0;0;0;0;2500;0;0;6500;63360;22348;4492;5840;0;0;0;0;230;1675;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29863;1;Barranquilla;1;Barranquilla;99;5
10101357;2015;0;0;0;0;0;0;0;0;0;0;0;0;0;141048;63984;12164;14258;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78242;1;Barranquilla;1;Barranquilla;99;5
10101358;2015;0;0;0;225;0;0;0;0;0;0;0;0;225;21217;9548;3435;4596;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14144;1;Barranquilla;1;Barranquilla;99;5
297826799;2015;0;0;0;0;0;0;0;0;0;0;0;0;0;87739;30533;3697;4536;0;0;0;0;12;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;786;0;0;0;0;0;35169;2;Bogotá;2;Bogotá;99;5
297718659;2015;2000;100;0;800;2000;0;0;0;0;0;0;0;4900;34770;13908;6578;7894;0;0;0;0;2;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75;0;0;0;0;0;21818;2;Bogotá;2;Bogotá;99;5
297826796;2015;0;0;0;3512;0;0;0;0;0;0;0;0;3512;345781;141770;81400;87912;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200;1600;0;0;0;1405;0;0;0;0;0;231282;2;Bogotá;2;Bogotá;99;5
297827958;2015;0;0;0;685;0;0;0;0;0;0;0;0;685;480758;203403;50644;60063;0;0;0;0;5;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;287;0;0;0;0;0;263506;2;Bogotá;2;Bogotá;99;5
297827000;2015;0;0;0;0;0;0;0;0;0;0;0;0;0;379042;159602;25596;45191;0;0;0;0;20;170;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2910;0;0;0;0;0;204963;2;Bogotá;2;Bogotá;99;5
414681;2015;0;0;0;834;2895;0;0;0;0;0;0;0;3729;541856;208310;24648;26914;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;235224;2;Bogotá;2;Bogotá;99;5
382101;2015;0;0;0;1412;223;0;0;0;0;0;0;0;1635;144224;58192;0;0;13696;16052;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;74244;4;Cali;15;Popayán;99;5
297826978;2015;0;0;350;576;10200;0;0;0;0;0;0;0;11126;1005785;352025;127078;180839;5172;6180;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;539044;2;Bogotá;2;Bogotá;99;5
