Nro_Orden_Establecimiento;Periodo;C6GAA2ab;C6GAA1e;C6GAA2d;C6GAA2f;C6GAA2g;C6GAA2h;C6GAA2i;TOTALGAA;C6GAAB1a;C6GAAB1b;C6GAAB1c;C6GAAB1d;C6GAAB2a;C6GAAB2b;C6GAAB2c;C6GAAB2d;C6GAAB3a;C6GAAB3b;C6GAAB3c;C6GAAB3d;C6GAAB4a;C6GAAB4b;C6GAAB4c;C6GAAB4d;POTPSFR;C6AAC1d;POTPERM;C6AAC2d;POTTCDE;C6AAC3d;POTTCAG;C6AAC4d;POTPAU;C6AAC5d;POTTOT;C6AAC6dT;GPPSI;GPPER;GPPPSP;GPPPST;GPPCPO;GPPANO;GPPAVO;GPPGPA;GPPGPN;GPPTPOT;GPPPTA;C6AAC1bRPA;C6AAC2bRPA;C6AAC3bRPA;C6AAC4bRPA;C6AAC5bRPA;C6AAC6bRPA;C6AAC7bRPA;C6AAC8bRPA;C6AAC9bRPA;C6AAC10bTRPA;C6AAC11bRPA;C6AA12bPSAAA;CREE;CREE_B;CREE_SALUD;CREE_SALUD_B;CODSEDE;Sede;CODSUBSEDE;Subsede;NOVEDAD;ESTADO
10101357;2015;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;15;0;0;0;2;0;17;0;0;0;0;176113;2;2;0;8560;3393;188070;0;0;0;0;0;0;0;0;0;0;0;0;0;4942; ;17972; ;1;Barranquilla;1;Barranquilla;99;5
10101358;2015;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;15;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;4500000;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ;1;Barranquilla;1;Barranquilla;99;5
297826799;2015;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ;b;17/06/2013;17/06/2016; ;b;01/11/2010;01/11/2016;0;0;9;0;8;0;0;0;0;0;17;0;0;155184;46338;93480;22289;6790;0;0;9102;333183;0;0;0;0;0;0;0;0;0;0;0;0;0;4116; ;4116; ;2;Bogotá;2;Bogotá;99;5
297718659;2015;100;200;400;200;0;0;0;900; ; ; ; ; ; ; ; ; ; ; ; ;a; ; ; ;1;1;13;1;0;0;0;0;0;0;14;2;286760;286760;59419;0;1;1;0;0;0;632941;0;1;10;2;0;1;1;0;0;0;15;0;0;9675; ;9675;9675;2;Bogotá;2;Bogotá;99;5
297826796;2015;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;36;0;0;0;0;0;2;0;38;0;111960;544571;141588;0;8938;31260;0;9708;20209;868234;0;0;0;0;0;0;0;0;0;0;0;1378;0;12182; ;12182; ;2;Bogotá;2;Bogotá;99;5
297827958;2015;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;59;0;0;0;0;0;5;0;64;0;108524;991724;204473;0;130071;50901;0;35033;103501;1624227;0;0;0;0;0;0;0;0;0;0;0;0;0;1; ;1; ;2;Bogotá;2;Bogotá;99;5
297827000;2015;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ;b;01/01/2015;31/12/2015;0;0;32;0;0;0;1;0;2;0;35;0;0;636025;160793;0;92859;28672;4587;14047;0;936983;20332;0;0;0;0;0;0;0;0;0;0;0;0;1; ;1; ;2;Bogotá;2;Bogotá;99;5
414681;2015;0;0;0;0;0;0;0;0; ;b;18/02/2016;15/09/2018; ; ; ; ; ;b;21/12/2011;20/02/2017; ;b;21/12/2011;20/02/2017;0;0;67;0;0;0;0;0;6;0;73;0;103552;802114;196365;0;121854;38950;1939;30000;43924;1338698;0;0;0;0;0;0;0;0;0;0;0;0;0;37214; ;37214; ;2;Bogotá;2;Bogotá;99;5
382101;2015;0;0;0;0;0;0;0;0; ;b;04/10/2011;10/09/2016; ; ; ; ; ; ; ; ; ; ; ; ;0;0;22;0;0;0;20;0;1;0;43;0;98564;225180;60997;0;40741;12241;0;6454;27898;472075;363161;0;0;0;0;0;0;0;0;0;0;0;0;84224; ;84224; ;4;Cali;15;Popayán;99;5
297826978;2015;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ;b;31/12/2014;31/12/2017; ;b;14/12/2014;14/12/2017;0;0;91;1;21;0;0;0;6;0;118;1;162290;1287465;298432;496432;300389;128378;0;38794;170318;2882498;0;0;19200;5000;0;5;1;0;0;0;24206;0;0; ;34203; ;1;2;Bogotá;2;Bogotá;99;5
297826677;2015;0;0;0;0;0;0;0;0; ;b;28/06/2012;27/06/2015; ; ; ; ;a; ; ; ; ; ; ; ;0;0;45;0;0;0;0;0;2;0;47;0;0;752460;169544;0;99987;33664;0;9665;101218;1166538;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ;0; ;2;Bogotá;2;Bogotá;99;5
297826828;2015;0;200;300;4000;0;3500;NORDESTA (BRASIL);8000; ; ; ; ; ; ; ; ; ;b;04/11/2012;03/11/2015; ;b;04/11/2012;03/11/2015;0;0;107;0;1;0;23;0;5;0;136;0;164360;1833226;475300;20265;276437;92423;0;29511;635898;3527420;475300;0;0;0;0;0;0;0;0;0;0;0;0;70899; ;70899; ;2;Bogotá;2;Bogotá;99;5
297826830;2015;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;43;0;0;0;0;0;2;0;45;0;0;816900;178450;0;106076;36641;0;10560;22498;1171125;0;0;0;0;0;0;0;0;0;0;0;0;0;60000; ;60000; ;2;Bogotá;2;Bogotá;99;5
452491;2015;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;18;0;0;0;0;0;1;0;19;0;0;299730;66801;0;39456;11407;0;7173;13571;438138;0;0;0;0;0;0;0;0;0;0;0;0;0;15869; ;15869; ;1;Barranquilla;9;Cartagena;99;5
