Nro_Orden_Establecimiento;Periodo;C5REA1;C5REA2;C5REA3;C5REA4;C5REA5;C5REA6;C5REA7;C5REA8;C5REA9;C5REA10;C6GAA2e;C6GAA1b;C5REB1a;C5REB1b;C5REB2a;C5REB2b;C5REB3a;C5REB3b;C5REB16a;C5REB16b;C5REB4a;C5REB4b;C5REB5a;C5REB5b;C5REB6a;C5REB6b;C5REB7a;C5REB7b;C5REB8a;C5REB8b;C5REB9a;C5REB9b;C5REB10a;C5REB10b;C5REB11a;C5REB12a;C5REB13a;C5REB14a;C5REB15a;C5REB15b;C5REB17a;C5REB17b;CONBIOGAS;C5REB18b;Sede;Subsede;NOVEDAD;ESTADO
297826792;2012;0;0;0;0;0;0;0;0;0;1000;0;0;911256;275461;18540;25956;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;301417;Barranquilla;Barranquilla;99;5
297826898;2012;0;0;0;0;0;0;0;0;0;0;0;0;1599280;543375;257102;252939;0;0;0;0;200;1598;0;0;0;0;0;0;0;0;4500;2880;0;0;0;0;0;1485;0;0;0;0;0;800792;Barranquilla;Barranquilla;99;5
296886290;2012;0;0;0;0;0;0;0;0;0;0;0;0;429992;139575;22056;27540;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;167115;Barranquilla;Cartagena;99;5
9816110;2012;0;0;0;2100;0;0;0;0;7800;0;0;0;518920;161819;33883;27729;0;0;0;0;200;1620;10;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;191218;Barranquilla;Barranquilla;99;5
9815988;2012;0;0;0;1000;0;0;0;0;0;0;0;0;194928;48241;6935;5132;0;0;0;0;50;382;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53755;Barranquilla;Barranquilla;99;5
297826722;2012;0;0;0;3500;1400;0;0;0;3000;2500;0;0;249660;82387;7216;5889;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;88276;Barranquilla;Barranquilla;99;5
297827969;2012;0;0;0;0;0;0;0;0;0;2483;0;0;195030;51953;5431;4196;0;0;0;0;55;427;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56576;Barranquilla;Barranquilla;99;5
297819041;2012;0;0;0;5994;0;0;0;0;0;0;0;0;1388513;192646;51240;41871;0;0;0;0;55;1530;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;236047;Barranquilla;Barranquilla;99;5
452218;2012;0;0;0;4128;0;0;0;0;0;4128;0;0;491460;149410;78000;64368;0;0;0;0;326;2608;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;216386;Barranquilla;Barranquilla;99;5
441772;2012;0;0;0;0;0;0;0;0;0;0;0;0;228132;203037;11448;11189;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;214226;Barranquilla;Barranquilla;99;5
