Nro_Orden_Establecimiento;Periodo;INSERTOT;Sede;Subsede;NOVEDAD;ESTADO
446751;2012;53617;Bogotá;Leticia;99;5
259709;2012;62559;Bogotá;Leticia;99;5
297818963;2012;88000;Bogotá;Leticia;99;5
297840103;2012;14000;Bogotá;Leticia;99;5
394762;2012;117000;Bogotá;Leticia;99;5
297833958;2012;5775;Bogotá;Leticia;99;5
297823481;2012;97200;Bogotá;Leticia;99;5
297821674;2012;46168;Bogotá;Leticia;99;5
296886227;2012;5737484;Bogotá;Bogotá;99;5
297718270;2012;6607276;Bogotá;Bogotá;99;5
452147;2012;1053047;Bucaramanga;Bucaramanga;99;5
296886218;2012;4654203;Bucaramanga;Bucaramanga;99;5
297839501;2012;12065784;Bogotá;Bogotá;99;5
382102;2012;11335889;Bucaramanga;Bucaramanga;99;5
297826761;2012;3526331;Bucaramanga;Bucaramanga;99;5
296914019;2012;1864764;Bucaramanga;Bucaramanga;99;5
297826917;2012;8676389;Bucaramanga;Bucaramanga;99;5
297826729;2012;2145776;Bucaramanga;Bucaramanga;99;5
452270;2012;1128908;Bucaramanga;Bucaramanga;99;5
297826888;2012;4476597;Bucaramanga;Bucaramanga;99;5
297826958;2012;1782153;Bucaramanga;Bucaramanga;99;5
452268;2012;2412493;Bucaramanga;Bucaramanga;99;5
452269;2012;101070;Bucaramanga;Bucaramanga;99;5
455214;2012;475705;Bucaramanga;Bucaramanga;99;5
297826915;2012;848259;Bucaramanga;Bucaramanga;99;5
297826605;2012;351313;Bucaramanga;Bucaramanga;99;5
420510;2012;1492363;Bucaramanga;Bucaramanga;99;5
297823964;2012;2196264;Bucaramanga;Bucaramanga;99;5
297822876;2012;1125099;Bucaramanga;Bucaramanga;99;5
297824118;2012;1450211;Bucaramanga;Bucaramanga;99;5
297827338;2012;1504250;Bucaramanga;Bucaramanga;99;5
452141;2012;6524289;Bucaramanga;Bucaramanga;99;5
444253;2012;2111555;Bucaramanga;Bucaramanga;99;5
452143;2012;1122344;Bucaramanga;Bucaramanga;99;5
297820053;2012;400711;Bucaramanga;Bucaramanga;99;5
297838190;2012;1056725;Cali;Cali;99;5
455239;2012;3583443;Cali;Cali;99;5
297826717;2012;10449134;Cali;Cali;99;5
297826765;2012;818125;Cali;Cali;99;5
297826766;2012;581207;Cali;Cali;99;5
297826771;2012;2347462;Cali;Cali;99;5
297821622;2012;3709743;Cali;Cali;99;5
452422;2012;1778330;Manizales;Manizales;99;5
452426;2012;8225000;Manizales;Ibagué;99;5
9807415;2012;6062655;Bogotá;Bogotá;99;5
296886245;2012;9520000;Medellín;Medellín;99;5
296886246;2012;7952156;Bogotá;Bogotá;99;5
296886247;2012;7593324;Bogotá;Bogotá;99;5
296886248;2012;2289199;Manizales;Manizales;99;5
296886249;2012;1857619;Manizales;Manizales;99;5
296886250;2012;11540725;Barranquilla;Santa Marta;99;5
297718282;2012;15332447;Barranquilla;Cartagena;99;5
297730369;2012;22621578;Bogotá;Bogotá;99;5
297730371;2012;3609589;Bogotá;Bogotá;99;5
297730372;2012;962376;Bogotá;Bogotá;99;5
297730373;2012;13304603;Barranquilla;Barranquilla;99;5
297730375;2012;5412000;Medellín;Medellín;99;5
297730377;2012;10731078;Bogotá;Tunja;99;5
297730504;2012;2050800;Medellín;Medellín;99;5
297730506;2012;503420;Manizales;Ibagué;99;5
297730507;2012;10542973;Bogotá;Bogotá;99;5
297838052;2012;32236280;Cali;Cali;99;5
296914052;2012;6512892;Cali;Cali;99;5
297826920;2012;2693105;Cali;Cali;99;5
446013;2012;108630;Cali;Cali;99;5
452409;2012;2314842;Cali;Cali;99;5
297826959;2012;1608585;Cali;Cali;99;5
306981;2012;1063222;Cali;Cali;99;5
297730524;2012;1893914;Cali;Pasto;99;5
297826949;2012;907209;Cali;Cali;99;5
297826764;2012;574726;Cali;Cali;99;5
297826736;2012;979810;Cali;Cali;99;5
297826872;2012;733985;Cali;Cali;99;5
297826769;2012;1683049;Cali;Cali;99;5
297826768;2012;987253;Cali;Cali;99;5
297827862;2012;13359874;Cali;Cali;99;5
444764;2012;677636;Cali;Cali;99;5
455224;2012;9971015;Cali;Cali;99;5
297820355;2012;2094907;Cali;Cali;99;5
299304554;2012;131236;Cali;Cali;99;5
297822435;2012;287854;Cali;Cali;99;5
299303283;2012;3558469;Manizales;Manizales;99;5
375000;2012;2663261;Manizales;Manizales;99;5
455637;2012;905332;Manizales;Manizales;99;5
7070958;2012;480255;Manizales;Manizales;99;5
297826773;2012;871875;Manizales;Manizales;99;5
444122;2012;250095;Manizales;Manizales;99;5
452099;2012;246681;Manizales;Armenia;99;5
9800577;2012;47028;Manizales;Manizales;99;5
452101;2012;4231363;Medellín;Medellín;99;5
297826671;2012;2186036;Medellín;Medellín;99;5
297718664;2012;796144;Medellín;Medellín;99;5
297826675;2012;3677011;Medellín;Medellín;99;5
297826976;2012;5409039;Medellín;Medellín;99;5
297718666;2012;2919275;Medellín;Medellín;99;5
452177;2012;1417373;Medellín;Medellín;99;5
297826851;2012;16408906;Medellín;Medellín;99;5
297718265;2012;5791335;Medellín;Medellín;99;5
296886274;2012;1353505;Medellín;Medellín;99;5
296886224;2012;2502210;Medellín;Medellín;99;5
299303330;2012;3471807;Medellín;Medellín;99;5
297826800;2012;3048195;Medellín;Medellín;99;5
297718269;2012;8426208;Medellín;Medellín;99;5
299303276;2012;21522215;Medellín;Medellín;99;5
446746;2012;1829807;Medellín;Medellín;99;5
296886259;2012;1214442;Medellín;Medellín;99;5
296886263;2012;1228794;Medellín;Medellín;99;5
296886264;2012;1942390;Medellín;Medellín;99;5
375263;2012;3641335;Medellín;Medellín;99;5
297730508;2012;8795474;Medellín;Medellín;99;5
375941;2012;1164039;Medellín;Medellín;99;5
457974;2012;2408418;Medellín;Medellín;99;5
9787477;2012;1527657;Medellín;Medellín;99;5
297826674;2012;1154604;Medellín;Medellín;99;5
297730522;2012;1998570;Medellín;Medellín;99;5
377233;2012;558355;Manizales;Armenia;99;5
378275;2012;288004;Medellín;Quibdó;99;5
296886268;2012;841288;Medellín;Medellín;99;5
451504;2012;303193;Medellín;Medellín;99;5
297826643;2012;10810551;Medellín;Medellín;99;5
452356;2012;7960184;Medellín;Medellín;99;5
297718296;2012;990514;Medellín;Medellín;99;5
297826775;2012;1245902;Medellín;Medellín;99;5
297839795;2012;178460;Medellín;Medellín;99;5
451499;2012;328037;Medellín;Medellín;99;5
452297;2012;755309;Medellín;Medellín;99;5
452330;2012;4015705;Medellín;Medellín;99;5
297718304;2012;897359;Medellín;Medellín;99;5
297823386;2012;1842224;Medellín;Medellín;99;5
297823000;2012;2571460;Medellín;Medellín;99;5
297823579;2012;6385134;Medellín;Medellín;99;5
297823739;2012;7392276;Medellín;Medellín;99;5
452170;2012;454525;Medellín;Medellín;99;5
452474;2012;1170919;Medellín;Medellín;99;5
297823606;2012;1084661;Medellín;Medellín;99;5
297823404;2012;1113854;Medellín;Medellín;99;5
297718335;2012;1161457;Medellín;Medellín;99;5
411323;2012;92236;Medellín;Medellín;99;5
443827;2012;619130;Medellín;Medellín;99;5
2506951;2012;646070;Medellín;Medellín;99;5
445470;2012;186185;Medellín;Medellín;99;5
297823428;2012;391551;Medellín;Medellín;99;5
297823893;2012;505233;Medellín;Medellín;99;5
444270;2012;334056;Medellín;Medellín;99;5
297839768;2012;1629479;Medellín;Medellín;99;5
10400085;2012;3772938;Medellín;Medellín;99;5
451490;2012;2141483;Manizales;Pereira;99;5
297839503;2012;2610248;Manizales;Pereira;99;5
452201;2012;3188322;Manizales;Pereira;99;5
297826921;2012;13551564;Manizales;Pereira;99;5
297730463;2012;1931289;Manizales;Pereira;99;5
