Nro_Orden_Establecimiento;Periodo;NUMHAB;NUMCAMA;IHPN;IHPT;Sede;Subsede;NOVEDAD;ESTADO
297826985;2012;42;86;17858;14135;Bogotá;Bogotá;99;5
297826986;2012;68;103;23025;19658;Bogotá;Bogotá;99;5
297838044;2012;53;100;11210;6593;Bogotá;Tunja;99;5
409910;2012;64;182;64754;29840;Manizales;Ibagué;99;5
450883;2012;70;104;21942;14176;Bogotá;Bogotá;99;5
297839484;2012;55;110;25248;9043;Bogotá;Bogotá;99;5
299303284;2012;247;359;83304;65100;Bogotá;Bogotá;99;5
337133;2012;61;92;21716;14673;Bogotá;Bogotá;99;5
75000;2012;12;64;3359;1149;Barranquilla;Santa Marta;99;5
75007;2012;20;40;4267;2725;Bogotá;Bogotá;99;5
410376;2012;13;29;2527;1145;Barranquilla;Santa Marta;99;5
296886229;2012;73;164;14633;13205;Barranquilla;Santa Marta;99;5
296914023;2012;6;48;918;348;Barranquilla;Santa Marta;99;5
297718272;2012;92;124;20184;16398;Bogotá;Bogotá;99;5
297826922;2012;41;82;17023;5112;Bogotá;Bogotá;99;5
451251;2012;28;72;10735;6520;Barranquilla;Cartagena;99;5
451446;2012;7573;144;14423;14423;Barranquilla;Santa Marta;99;5
455513;2012;371;833;107347;75974;Bogotá;Bogotá;99;5
9807403;2012;251;444;50505;32518;Bogotá;Bogotá;99;5
297730683;2012;75;160;15793;11793;Cali;Cali;99;5
296886232;2012;80;419;77076;77076;Bogotá;Bogotá;99;5
296886233;2012;47;202;43654;43654;Bogotá;Bogotá;99;5
296886234;2012;172;846;146211;146211;Bogotá;Bogotá;99;5
296886235;2012;66;282;64346;64346;Bogotá;Bogotá;99;5
296886236;2012;88;322;57062;57062;Bogotá;Bogotá;99;5
3834328;2012;84;118;23289;9488;Bogotá;Bogotá;99;5
297826903;2012;144;283;29461;14441;Bogotá;Bogotá;99;5
451463;2012;66;132;46546;24498;Bogotá;Bogotá;99;5
451466;2012;41;82;20228;16332;Bogotá;Bogotá;99;5
297826734;2012;196;251;73858;49239;Bogotá;Bogotá;99;5
297826735;2012;305;419;116392;81984;Bogotá;Bogotá;99;5
452253;2012;169;648;109183;50665;Bogotá;Bogotá;99;5
296886239;2012;142;590;90834;80455;Manizales;Ibagué;99;5
452256;2012;63;176;23069;19549;Manizales;Ibagué;99;5
297826882;2012;36;72;9494;7070;Bogotá;Bogotá;99;5
