Nro_Orden_Establecimiento;Periodo;NUMHAB;NUMCAMA;IHPN;IHPT;Sede;Subsede;NOVEDAD;ESTADO
441848;2012;46;100;28678;22609;Barranquilla;Cartagena;99;5
394535;2012;51;106;7676;5104;Barranquilla;Cartagena;99;5
409328;2012;7;16;858;383;Barranquilla;Cartagena;99;5
441881;2012;23;52;6981;5347;Barranquilla;Cartagena;99;5
297822760;2012;7;14;5082;2252;Barranquilla;Cartagena;99;5
9798639;2012;72;175;23592;17088;Barranquilla;Cartagena;99;5
406282;2012;32;42;15036;9398;Barranquilla;Cartagena;99;5
441855;2012;55;174;63510;27204;Barranquilla;Cartagena;99;5
297826740;2012;116;146;10038;10038;Bucaramanga;Cúcuta;99;5
297826883;2012;99;150;30127;27174;Bucaramanga;Cúcuta;99;5
297826884;2012;125;172;29082;26910;Bucaramanga;Cúcuta;99;5
297826885;2012;69;138;33163;18804;Bucaramanga;Cúcuta;99;5
297826901;2012;128;265;33907;12581;Bucaramanga;Cúcuta;99;5
297826747;2012;50;65;19689;6563;Bucaramanga;Cúcuta;99;5
452108;2012;152;222;64111;58615;Manizales;Ibagué;99;5
297826829;2012;21;120;8176;5451;Manizales;Ibagué;99;5
297818881;2012;66;96;16810;14509;Manizales;Ibagué;99;5
296914042;2012;168;608;65676;38881;Bogotá;Bogotá;99;5
297826886;2012;123;246;15512;10646;Manizales;Ibagué;99;5
452553;2012;72;216;29286;26042;Manizales;Ibagué;99;5
297826772;2012;78;198;19516;15613;Manizales;Ibagué;99;5
297826673;2012;62;109;14296;14025;Manizales;Ibagué;99;5
297718320;2012;42;113;10746;7509;Bogotá;Bogotá;99;5
299303282;2012;37;112;13296;13129;Manizales;Ibagué;99;5
297826947;2012;131;224;29344;22640;Manizales;Ibagué;99;5
449238;2012;100;600;9560;4069;Bogotá;Villavicencio;99;5
2959356;2012;353;2530;489944;187905;Manizales;Ibagué;99;5
296914033;2012;154;330;68378;29026;Manizales;Ibagué;99;5
297839488;2012;75;165;45388;18784;Manizales;Ibagué;99;5
297822615;2012;34;134;9188;9088;Manizales;Ibagué;99;5
297826644;2012;20;40;6321;4775;Medellín;Monteria;99;5
297826972;2012;87;150;17768;9768;Bogotá;Neiva;99;5
377622;2012;73;104;18532;16411;Bogotá;Neiva;99;5
297826505;2012;49;133;4017;3748;Bogotá;Neiva;99;5
297826918;2012;29;40;7553;7446;Bogotá;Neiva;99;5
297826954;2012;20;41;3977;3437;Bogotá;Neiva;99;5
458176;2012;28;103;7281;6981;Bogotá;Neiva;99;5
444031;2012;5;12;2407;2107;Bogotá;Neiva;99;5
377732;2012;22;57;3370;2890;Cali;Pasto;99;5
297839490;2012;56;126;6246;4040;Cali;Pasto;99;5
299303258;2012;39;54;14846;7087;Cali;Pasto;99;5
297826853;2012;53;81;11935;11679;Cali;Pasto;99;5
296886267;2012;56;117;6804;5292;Cali;Pasto;99;5
297838027;2012;34;38;5660;5181;Cali;Pasto;99;5
297820038;2012;26;26;7300;4015;Cali;Pasto;99;5
297823391;2012;20;40;2112;1056;Cali;Pasto;99;5
297823966;2012;82;103;10950;5475;Cali;Pasto;99;5
443904;2012;30;32;8300;5810;Cali;Pasto;99;5
452007;2012;20;25;5400;4380;Cali;Pasto;99;5
297822291;2012;26;32;5760;5110;Cali;Pasto;99;5
299303277;2012;8;13;1752;1348;Cali;Pasto;99;5
190072;2012;21;33;6200;5133;Cali;Pasto;99;5
299304532;2012;20;23;2225;2190;Cali;Pasto;99;5
297819287;2012;25;27;4015;2007;Cali;Pasto;99;5
297820340;2012;8;11;1095;730;Cali;Pasto;99;5
297820632;2012;23;29;2555;1703;Cali;Pasto;99;5
299303280;2012;16;18;2955;2920;Cali;Pasto;99;5
297826952;2012;28;47;8437;6613;Cali;Popayán;99;5
296886217;2012;41;162;11151;11151;Barranquilla;Santa Marta;99;5
297826801;2012;270;1238;17091;17091;Barranquilla;Santa Marta;99;5
297826802;2012;990;2700;13558;13558;Barranquilla;Santa Marta;99;5
297826803;2012;56;96;24548;22447;Barranquilla;Santa Marta;99;5
297838055;2012;129736;554276;47444;33298;Barranquilla;Santa Marta;99;5
9816056;2012;143;220;33868;33868;Barranquilla;Santa Marta;99;5
9816058;2012;54;100;6407;5254;Barranquilla;Santa Marta;99;5
297826804;2012;70;150;23108;23108;Barranquilla;Santa Marta;99;5
441237;2012;2670;6840;12166;6166;Barranquilla;Santa Marta;99;5
441867;2012;153;350;74469;50348;Barranquilla;Santa Marta;99;5
297826653;2012;40;200;10820;10820;Barranquilla;Santa Marta;99;5
412206;2012;75;292;9862;9862;Barranquilla;Santa Marta;99;5
297839770;2012;280;340;30558;30558;Barranquilla;Santa Marta;99;5
297823689;2012;85;222;30041;15920;Barranquilla;Santa Marta;99;5
378399;2012;45;110;19381;7004;Bogotá;Tunja;99;5
296886273;2012;32;196;24761;24761;Bogotá;Tunja;99;5
452209;2012;61;436;21257;21047;Bogotá;Tunja;99;5
297839496;2012;23;49;7315;6192;Bogotá;Tunja;99;5
297827967;2012;93;269;26806;12157;Bogotá;Tunja;99;5
297827223;2012;38;74;6240;5708;Bogotá;Tunja;99;5
452242;2012;50;150;14486;9458;Bogotá;Tunja;99;5
297826805;2012;60;82;20250;16230;Bogotá;Villavicencio;99;5
297718278;2012;63;96;34200;17483;Bogotá;Villavicencio;99;5
297826874;2012;105;288;43064;24608;Bogotá;Villavicencio;99;5
297826880;2012;57;111;14526;7163;Bogotá;Villavicencio;99;5
297823318;2012;51;102;36050;33100;Bogotá;Villavicencio;99;5
419955;2012;44;86;3225;2613;Bogotá;Villavicencio;99;5
297717022;2012;198;704;7269;6847;Bogotá;Villavicencio;99;5
359228;2012;50;160;22624;12569;Bogotá;Bogotá;99;5
297827893;2012;39;72;7889;6230;Bogotá;Villavicencio;99;5
451486;2012;29;140;2712;2270;Bogotá;Villavicencio;99;5
416445;2012;34;84;10350;4570;Bogotá;Villavicencio;99;5
297822935;2012;82;220;22512;18732;Bogotá;Villavicencio;99;5
452022;2012;40;76;6124;5820;Bogotá;Villavicencio;99;5
297827069;2012;78;162;22512;12372;Bogotá;Villavicencio;99;5
445035;2012;27;46;4053;2002;Bogotá;Villavicencio;99;5
297824171;2012;14;24;1080;360;Bogotá;Villavicencio;99;5
297819819;2012;24;48;2483;1870;Bogotá;Villavicencio;99;5
119269;2012;29;49;4680;1872;Bogotá;Yopal;99;5
297822942;2012;15;20;2031;1898;Bogotá;Yopal;99;5
451546;2012;45;79;6917;3458;Bogotá;Yopal;99;5
451479;2012;17;18;5360;1114;Bogotá;Yopal;99;5
297821431;2012;13;17;4253;1546;Bogotá;Yopal;99;5
451823;2012;11;24;1190;793;Bogotá;Yopal;99;5
297818782;2012;10;20;2520;168;Bogotá;Yopal;99;5
297821835;2012;28;46;2569;1985;Bogotá;Yopal;99;5
297822565;2012;14;33;3872;2069;Bogotá;Yopal;99;5
297826938;2012;10;20;760;113;Bogotá;Yopal;99;5
297819575;2012;14;22;2016;1118;Bogotá;Yopal;99;5
297820273;2012;12;26;2384;1195;Bogotá;Yopal;99;5
297825550;2012;11;17;2880;2324;Bogotá;Yopal;99;5
299303279;2012;16;22;3000;1574;Bogotá;Yopal;99;5
297837540;2012;12;18;1950;1650;Bogotá;Yopal;99;5
297823050;2012;21;36;2953;1476;Bogotá;Yopal;99;5
297823808;2012;16;32;2618;963;Bogotá;Yopal;99;5
297822607;2012;40;47;9732;2620;Bogotá;Yopal;99;5
445605;2012;15;22;2436;2130;Bogotá;Yopal;99;5
297834039;2012;12;16;2906;2353;Bogotá;Villavicencio;99;5
451473;2012;26;50;3598;1735;Bogotá;Villavicencio;99;5
297822619;2012;16;60;2429;489;Bogotá;Villavicencio;99;5
111989;2012;35;70;5226;3832;Bogotá;Villavicencio;99;5
442454;2012;14;34;885;349;Bogotá;Villavicencio;99;5
446361;2012;14;36;2533;1689;Bogotá;Villavicencio;99;5
445797;2012;14;19;3705;2779;Bogotá;Villavicencio;99;5
442347;2012;11;28;936;458;Bogotá;Villavicencio;99;5
297821837;2012;21;26;5169;3395;Bogotá;Villavicencio;99;5
451828;2012;61;81;17714;3543;Bogotá;Villavicencio;99;5
297820211;2012;13;22;540;499;Bogotá;Villavicencio;99;5
297824064;2012;26;42;2600;1850;Bogotá;Tunja;99;5
297824422;2012;48;60;6668;2784;Bogotá;Villavicencio;99;5
172844;2012;18;52;600;398;Bogotá;Villavicencio;99;5
297820051;2012;11;46;977;535;Bogotá;Villavicencio;99;5
446231;2012;20;31;176;157;Bogotá;Villavicencio;99;5
445004;2012;24;34;3467;2711;Bogotá;Villavicencio;99;5
297821149;2012;20;80;15000;15000;Bogotá;Villavicencio;99;5
297824008;2012;11;22;1940;1671;Bogotá;Villavicencio;99;5
444134;2012;20;62;2555;1944;Bogotá;Villavicencio;99;5
297827233;2012;12;26;209;68;Bogotá;Villavicencio;99;5
299303288;2012;43;72;10876;10781;Barranquilla;Riohacha;99;5
444209;2012;36;82;10896;10068;Barranquilla;Riohacha;99;5
9815982;2012;212;318;89895;22113;Barranquilla;San Andrés;99;5
296913989;2012;219;480;107846;27677;Barranquilla;San Andrés;99;5
296913990;2012;46;102;22373;6139;Barranquilla;San Andrés;99;5
297718663;2012;34;68;10202;3454;Barranquilla;San Andrés;99;5
297730498;2012;35;70;6341;2009;Barranquilla;San Andrés;99;5
297826665;2012;89;212;73028;56176;Barranquilla;San Andrés;99;5
74973;2012;64;180;10641;10641;Barranquilla;San Andrés;99;5
457976;2012;64;80;15200;9500;Medellín;Monteria;99;5
296914091;2012;89;278;100423;81422;Barranquilla;San Andrés;99;5
297730513;2012;189;610;211449;159834;Barranquilla;San Andrés;99;5
297730514;2012;55;166;60540;60540;Barranquilla;San Andrés;99;5
297730681;2012;128;272;9455;1255;Barranquilla;San Andrés;99;5
452535;2012;167;427;104765;27063;Barranquilla;San Andrés;99;5
297826875;2012;65;114;32188;11752;Barranquilla;San Andrés;99;5
455784;2012;82;178;54225;20481;Barranquilla;San Andrés;99;5
296914053;2012;165;360;45941;30827;Barranquilla;San Andrés;99;5
297826666;2012;61;201;41466;10733;Barranquilla;San Andrés;99;5
297826646;2012;42;120;32637;8063;Barranquilla;San Andrés;99;5
297826948;2012;42;88;25365;6213;Barranquilla;San Andrés;99;5
297826737;2012;59;200;64806;16745;Barranquilla;San Andrés;99;5
299303281;2012;78;127;45997;20539;Barranquilla;San Andrés;99;5
452123;2012;297;700;225607;55789;Barranquilla;San Andrés;99;5
452124;2012;65;150;54264;16436;Barranquilla;San Andrés;99;5
452125;2012;28;66;20160;19932;Bogotá;Leticia;99;5
296913996;2012;36;84;25688;6028;Barranquilla;San Andrés;99;5
299303289;2012;10;36;2048;1530;Barranquilla;San Andrés;99;5
441678;2012;7;10;446;225;Barranquilla;San Andrés;99;5
297819308;2012;10;45;3800;1062;Barranquilla;San Andrés;99;5
9816028;2012;5;7;413;135;Barranquilla;San Andrés;99;5
9809870;2012;15;30;5335;2962;Barranquilla;San Andrés;99;5
441826;2012;72;222;18500;14411;Barranquilla;San Andrés;99;5
297818939;2012;32;109;36500;18894;Barranquilla;San Andrés;99;5
297819945;2012;9;18;1865;963;Barranquilla;San Andrés;99;5
74974;2012;18;80;18625;6650;Barranquilla;San Andrés;99;5
110501;2012;8;14;835;312;Barranquilla;San Andrés;99;5
297822317;2012;17;38;2287;705;Barranquilla;San Andrés;99;5
444120;2012;8;19;2907;2120;Barranquilla;San Andrés;99;5
287782;2012;9;55;6006;2181;Barranquilla;San Andrés;99;5
297821876;2012;20;40;5777;3485;Barranquilla;San Andrés;99;5
448118;2012;25;51;2150;1738;Barranquilla;San Andrés;99;5
441851;2012;9;18;764;321;Barranquilla;San Andrés;99;5
297818425;2012;48;94;5454;3857;Barranquilla;Sincelejo;99;5
444146;2012;48;85;9586;9586;Barranquilla;Sincelejo;99;5
297838035;2012;70;104;21015;21015;Barranquilla;Valledupar;99;5
297718293;2012;60;70;13445;7287;Barranquilla;Valledupar;99;5
297718291;2012;50;100;8946;3795;Barranquilla;Valledupar;99;5
297718319;2012;108;173;38968;28726;Barranquilla;Valledupar;99;5
451467;2012;84;141;34988;12810;Bogotá;Bogotá;99;5
297839487;2012;125;381;59830;49903;Barranquilla;Cartagena;99;5
