Nro_Orden_Establecimiento;Periodo;C4RGC2;C4RGC4;C4RGC5;MANTRSCON;C4RGC6;CVPROGRSCONV;CVPROGRESPEL;C4RGA1aRO;C4RGA1cRO;RSORGRECICLA;C4RGA1bRO;C4RGA1dRO;RSORGVENTA;C4RGA1eRO;C4RGA2aPC;C4RGA2cPC;RSPAPELRECICLA;C4RGA2bPC;C4RGA2dPC;RSPAPELVENTA;C4RGA2ePC;C4RGA3aP;C4RGA3cP;RSPLASTRECICLA;C4RGA3bP;C4RGA3dP;RSPLASTVENTA;C4RGA3eP;C4RGA4aV;C4RGA4cV;RSVIDRIORECICLA;C4RGA4bV;C4RGA4dV;RSVIDRIOVENTA;C4RGA4eV;C4RGA5aMT;C4RGA5cMT;RSMETALRECICLA;C4RGA5bMT;C4RGA5dMT;RSMETALVENTA;C4RGA5eMT;C4RGA6aT;C4RGA6cT;RSTEXTILRECICLA;C4RGA6bT;C4RGA6dT;RSTEXTILVENTA;C4RGA6eT;C4RGA7aNMT;C4RGA7cNMT;RSNOMETALRECICLA;C4RGA7bNMT;C4RGA7dNMT;RSNOMETALVENTA;C4RGA7eNMT;RSMIXQ;RSMIXREUQ;RSMIXRECICLAQ;RSMIXDONAQ;RSMIXENTREGQ;RSMIXVENTAQ;RSMIXVENTAI;C4RGA8a;C4RGA8c;RSRECICLAT;C4RGA8b;C4RGA8d;RSVENTAT;C4RGA8e;C4RGA9VCRR;C4RGA10e;C4RGA10a;C4RGA10b;C4RGA10c;C4RGA10d;C4RGB1a;C4RGB1c;C4RGB1d;C4RGB1e;C4RGB1f;C4RGB3a;C4RGB3c;C4RGB3d;C4RGB3e;C4RGB3f;C4RGB4a;C4RGB4c;C4RGB4d;C4RGB4e;C4RGB4f;C4RGB5a;C4RGB5c;C4RGB5d;C4RGB5e;C4RGB5f;C4RGB6a;C4RGB6c;C4RGB6d;C4RGB6e;C4RGB6f;C4RGB7a;C4RGB7c;C4RGB7d;C4RGB7e;C4RGB7f;C4RGB8a;C4RGB8c;C4RGB8d;C4RGB8e;C4RGB8f;C4RGB9a;C4RGB9c;C4RGB9d;C4RGB9e;C4RGB9f;C4RGB10a;C4RGB10c;C4RGB10d;C4RGB10e;C4RGB10f;C4RGB11a;C4RGB11c;C4RGB11d;C4RGB11e;C4RGB11f;C4RGB12a;C4RGB12c;C4RGB12d;C4RGB12e;C4RGB12f;C4RGB13Ta;TOTALMA;TOTALAPROVE;TOTALTRAT;TOTALINCI;C4RGB2TOT;Sede;Subsede;NOVEDAD;ESTADO
297823481;2012;100;200;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;330;0;0;0;330;0;0;330;0;0;0;330;0;0;300;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ;0;0;0;0;0;0;Bogotá;Leticia;99;5
297821674;2012;0;0;0;0;100;0;0;850;0;850;0;0;0;0;0;0;0;0;0;0;0;50;50;0;0;0;0;0;10;10;0;0;0;0;0;5;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;130;0;0;0;130;0;0;1045;60;855;0;130;0;0;320;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ;0;0;0;0;0;0;Bogotá;Leticia;99;5
296886227;2012;0;0;0;0;587;0;0;3500;3000;0;0;500;0;0;150;0;100;0;50;0;0;300;0;50;0;250;0;0;250;50;0;0;200;0;0;80;0;0;0;80;0;0;350;0;0;350;0;0;0;400;0;0;0;400;0;0;4090;0;0;0;4090;0;0;9120;3050;150;350;5570;0;0;9213;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ;0;0;0;0;0;0;Bogotá;Bogotá;99;5
297718270;2012;0;0;0;0;392;0;0;5475;0;0;0;5475;0;0;8200;0;0;0;8200;0;0;0;0;0;0;0;0;0;20250;0;0;0;20250;0;0;0;0;0;0;0;0;0;4175;0;0;4175;0;0;0;0;0;0;0;0;0;0;890;0;0;0;890;0;0;38990;0;0;4175;34815;0;0;22310;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ;0;0;0;0;0;0;Bogotá;Bogotá;99;5
452147;2012;0;0;0;0;1800;0;0;0;0;0;0;0;0;0;1000;0;0;0;0;1000;300;1300;0;0;0;0;1300;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3300;0;0;0;3300;0;0;5600;0;0;0;3300;2300;400;3072;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ;0;0;0;0;0;0;Bucaramanga;Bucaramanga;99;5
296886218;2012;0;0;0;0;3800;0;0;0;0;0;0;0;0;0;3000;0;0;0;0;3000;500;4000;0;0;0;0;4000;300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8000;0;0;0;8000;0;0;15000;0;0;0;8000;7000;800;16794;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ;0;0;0;0;0;0;Bucaramanga;Bucaramanga;99;5
297839501;2012;0;0;0;3679;12941;2394;0;87810;0;0;0;87810;0;0;10376;0;0;0;0;10376;529;1050;0;0;0;0;1050;529;6957;0;0;0;0;6957;529;683;0;0;0;0;683;529;66;0;0;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;106942;0;0;66;87810;19066;2116;11122;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ;0;0;0;0;0;0;Bogotá;Bogotá;99;5
382102;2012;2500;0;0;0;1500;0;0;0;0;0;0;0;0;0;12300;0;0;0;12300;0;0;10200;0;0;0;10200;0;0;7920;0;0;0;7920;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66720;0;0;0;66720;0;0;97140;0;0;0;97140;0;0;1;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ;0;0;0;0;0;0;Bucaramanga;Bucaramanga;99;5
297826761;2012;0;450;0;0;2100;0;0;19000;0;0;0;19000;0;0;3000;0;0;0;3000;0;0;380;0;0;0;380;0;0;2650;0;0;0;2650;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;390;0;0;0;390;0;0;280;0;0;0;280;0;0;25700;0;0;0;25700;0;0;1280;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ;0;0;0;0;0;0;Bucaramanga;Bucaramanga;99;5
296914019;2012;0;0;0;0;4877;0;0;5647;0;0;0;5647;0;0;1832;0;0;280;1552;0;0;225;0;0;0;225;0;0;68;0;0;0;68;0;0;0;0;0;0;0;0;0;120;0;15;0;105;0;0;1130;0;0;0;1130;0;0;0;0;0;0;0;0;0;9022;0;15;280;8727;0;0;560;X; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ;0;0;0;0;0;0;Bucaramanga;Bucaramanga;99;5
