Nro_Orden_Establecimiento;Periodo;C3RHE1;C3RHE2;C3RHE5;PROGAHORR;C3RHC1PTU;C3RHC4RCASUP;C3RHC5RCASUB;C3RHC6PMS;MULTABAS;C3RHC7TOGT;C3RHA1cAC;C3RHA1dAC;VOCONSBL;VACONSBLQ;C3RHA5cCT;C3RHA5dCT;C3RHA6cALL;C3RHA2aSUP;C3RHA2bSUP;FECHADESDESUP;FECHAHASTASUP;C3RHA2cSUP;C3RHA3aSUB;C3RHA3bSUB;FECHADESDESUB;FECHAHASTASUB;C3RHA3cSUB;C3RHA4aAM;C3RHA4bAM;FECHADESDEMAR;FECHAHASTAMAR;C3RHA4cAM;C3RHA7aTVC;C3RHA7bTPC;C3RHA7cTVU;C3RHA7dTVPCA;Sede;Subsede;NOVEDAD;ESTADO
296886236;2012;0;0;18000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;95000;1160;14/10/2011;14/10/2013;28697;239674;1113;12/12/2012;01/12/2014;94608;0;0; ; ;0;334674;2273;123305;0;Bogotá;Bogotá;99;5
3834328;2012;0;0;0;0;47;0;0;0;0;47;9725;22863;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;9725;22863;Bogotá;Bogotá;99;5
297826903;2012;0;0;0;0;68;0;0;0;0;68;14820;34901;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;14820;34901;Bogotá;Bogotá;99;5
451463;2012;0;0;0;0;19;0;0;0;0;19;3800;9138;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;3800;9138;Bogotá;Bogotá;99;5
451466;2012;0;0;0;0;51;0;0;0;0;51;5935;14184;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;5935;14184;Bogotá;Bogotá;99;5
297826734;2012;0;800;11897;25452;180;0;0;0;0;180;33830;81192;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;33830;81192;Bogotá;Bogotá;99;5
297826735;2012;0;0;0;0;377;0;0;0;0;377;76419;189978;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;76419;189978;Bogotá;Bogotá;99;5
452253;2012;0;0;5000;10000;1064;0;0;0;0;1064;236463;404362;0;0;0;0;0;8900;1116;28/01/2002;27/01/2012;6200;0;0; ; ;0;0;0; ; ;0;8900;1116;242663;404362;Bogotá;Bogotá;99;5
296886239;2012;0;0;22851;0;0;0;0;0;0;0;0;0;0;0;0;0;0;159036;0;19/09/2007;18/09/2017;123919;20220;0;06/07/2010;05/07/2020;0;0;0; ; ;0;179256;0;123919;0;Manizales;Ibagué;99;5
452256;2012;0;0;0;0;12738;0;0;0;0;12738;17449;23470;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;17449;23470;Manizales;Ibagué;99;5
297826882;2012;0;0;0;0;40;0;0;0;0;40;2580;6221;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;2580;6221;Bogotá;Bogotá;99;5
297826889;2012;0;10000;0;0;50;0;0;0;0;50;11020;26888;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;11020;26888;Bogotá;Bogotá;99;5
297826988;2012;0;1000;0;200;39;0;0;0;0;39;5225;12801;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;5225;12801;Bogotá;Bogotá;99;5
457978;2012;0;0;0;0;4;0;0;0;0;4;804;1889;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;804;1889;Bogotá;Bogotá;99;5
457979;2012;0;0;0;0;0;0;0;0;0;0;353;222;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;353;222;Bogotá;Bogotá;99;5
297718280;2012;0;0;0;0;2;0;0;0;0;2;690;1690;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;690;1690;Bogotá;Bogotá;99;5
451402;2012;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ;0;627;1;03/01/2012;05/10/2016;627;0;0; ; ;0;627;1;627;0;Bogotá;Bogotá;99;5
297826991;2012;0;0;0;0;17;0;0;0;0;17;2824;6964;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;2824;6964;Bogotá;Bogotá;99;5
9807346;2012;0;0;0;0;18;0;0;0;0;18;3648;8602;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;3648;8602;Bogotá;Bogotá;99;5
9807408;2012;0;13256;0;0;168;0;0;0;0;168;32752;81615;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;32752;81615;Bogotá;Bogotá;99;5
297826672;2012;1500;12200;4000;3000;25;0;0;0;0;25;5125;12044;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;5125;12044;Bogotá;Bogotá;99;5
297826767;2012;0;0;0;0;8;0;0;0;0;8;1920;4704;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;1920;4704;Bogotá;Bogotá;99;5
297838058;2012;0;0;0;0;19;0;0;0;0;19;3774;9119;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;3774;9119;Bogotá;Bogotá;99;5
297827017;2012;0;0;0;0;12;0;0;0;0;12;2535;6084;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;2535;6084;Bogotá;Bogotá;99;5
