Nro_Orden_Establecimiento;Periodo;C6GAA2ab;C6GAA1e;C6GAA2d;C6GAA2f;C6GAA2g;C6GAA2h;C6GAA2i;C6GAAB1a;C6GAAB1b;C6GAAB1c;C6GAAB1d;C6GAAB2a;C6GAAB2b;C6GAAB2c;C6GAAB2d;C6GAAB3a;C6GAAB3b;C6GAAB3c;C6GAAB3d;C6GAAB4a;C6GAAB4b;C6GAAB4c;C6GAAB4d;POTPSFR;C6AAC1d;POTPERM;C6AAC2d;POTTCDE;C6AAC3d;POTTCAG;C6AAC4d;POTPAU;C6AAC5d;POTTOT;C6AAC6dT;GPPSI;GPPER;GPPPSP;GPPPST;GPPCPO;GPPANO;GPPAVO;GPPGPA;GPPGPN;GPPTPOT;GPPPTA;C6AAC1bRPA;C6AAC2bRPA;C6AAC3bRPA;C6AAC4bRPA;C6AAC5bRPA;C6AAC6bRPA;C6AAC7bRPA;C6AAC8bRPA;C6AAC9bRPA;C6AAC10bTRPA;C6AAC11bRPA;C6AA12bPSAAA;Sede;Subsede;NOVEDAD;ESTADO
296886246;2012;0;0;0;0;0;1300;FUNDACION AL VERDE VIVO; ;b;08/08/2008;08/08/2014; ; ; ; ; ;b;01/08/2012;08/08/2014; ; ; ; ;0;0;65;0;6;0;8;0;4;0;83;0;90013;747613;195560;60794;198331;81216;0;15613;41437;1430577;126664;0;0;0;0;0;0;0;0;0;0;0;0;Bogotá;Bogotá;99;5
296886247;2012;0;0;0;1500;0;1300;FUNDACION AL VERDE VIVO; ;b;16/03/2005;16/03/2015; ; ; ; ; ;b;23/04/2008;23/04/2015; ; ; ; ;0;0;66;0;0;0;10;0;4;0;80;0;102253;843969;173708;0;180044;72842;14453;20387;190293;1597949;135254;0;0;0;0;0;0;0;0;0;0;0;0;Bogotá;Bogotá;99;5
296886248;2012;0;0;0;9101;0;0;0; ; ; ; ; ; ; ; ; ;b;19/09/2012;07/10/2013; ; ; ; ;0;0;43;0;0;0;10;0;2;0;55;0;112450;488867;103677;0;110820;51082;0;10567;55234;932697;111536;0;0;0;0;0;0;0;0;0;0;0;0;Manizales;Manizales;99;5
296886249;2012;0;0;0;66;0;0;0; ; ; ; ; ; ; ; ; ;b;19/10/2011;26/10/2013; ; ; ; ;0;0;14;0;0;0;2;0;1;0;17;0;0;119923;28746;0;26933;10917;0;5799;61923;254241;25844;0;0;0;0;0;0;0;0;0;0;0;0;Manizales;Manizales;99;5
296886250;2012;0;0;0;17448;0;0;0; ;b;01/09/2010;31/08/2015; ; ; ; ; ;b;18/06/2009;17/06/2015; ; ; ; ;0;0;99;0;0;0;60;0;4;0;163;0;102763;1191285;289333;0;290436;119384;1760;18078;55189;2068228;600000;0;0;0;0;0;0;0;0;0;0;0;0;Barranquilla;Santa Marta;99;5
297718282;2012;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;61;1;0;0;50;0;0;0;111;1;290285;1018354;280848;0;297955;123606;0;0;255824;2266872;579991;0;13313;3074;0;2910;1219;0;0;1614;22130;0;0;Barranquilla;Cartagena;99;5
297730369;2012;0;1300;0;28800;0;0;0;a; ; ; ;a; ; ; ;a; ; ; ;a; ; ; ;0;0;242;0;0;0;25;0;11;0;278;0;420749;2697043;661996;0;723514;280027;49371;65651;0;4898351;280027;0;0;0;0;0;0;0;0;0;0;0;0;Bogotá;Bogotá;99;5
297730371;2012;0;0;0;120;0;0;0; ; ; ; ; ; ; ; ; ;b;03/10/2012;02/10/2015; ; ; ; ;0;0;60;0;0;0;2;0;3;0;65;0;0;668368;151391;0;158333;65465;418;10399;77276;1131650;56611;0;0;0;0;0;0;0;0;0;0;0;0;Bogotá;Bogotá;99;5
297730372;2012;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;75;0;0;0;0;0;0;0;75;0;0;1008720;238040;0;222560;90660;0;0;6834;1566814;0;0;0;0;0;0;0;0;0;0;0;0;0;Bogotá;Bogotá;99;5
297730373;2012;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ;b;11/01/2012;10/01/2015;0;0;81;0;1;0;60;0;6;0;148;0;374853;927967;236929;10617;269220;111005;3965;32453;160450;2127459;577635;0;0;0;0;0;0;0;0;0;0;0;0;Barranquilla;Barranquilla;99;5
