Nro_Orden_Establecimiento;Periodo;C3RHE3;C3RHE4;C4VERTIADAPT;C6GAA1f;C3RHD1PTRV;C3RHD2PPVP;C3RHD3PMSV;MULTAVERT;C3RHD4TGTV;C3RHB1TAR;C3RHB2a;C3RHB2b;C3RHB2c;C3RHB2d;C3RHB3a3A;C3RHB3b3A;C3RHB3c3A;C3RHB3d3A;C3RHB3eT3A;C3RHB3a3B;C3RHB3b3B;C3RHB3c3B;C3RHB3d3B;C3RHB3eT3B;C3RHB4VAL;Sede;Subsede;NOVEDAD;ESTADO
297826722;2012;0;0;0;0;489;0;0;0;489;NO; ; ; ; ;0;0;0;0;0;4947;0;0;0;4947;7045;Barranquilla;Barranquilla;99;5
297827969;2012;0;240;1251;0;111;1123;0;0;1234;SI;a; ; ; ;850;0;0;0;850;1296;0;0;0;1296;2033;Barranquilla;Barranquilla;99;5
297819041;2012;0;0;0;0;1273;0;0;0;1273;NO; ; ; ; ;0;0;0;0;0;10648;0;0;0;10648;15184;Barranquilla;Barranquilla;99;5
452218;2012;0;380;520;0;2614;0;0;0;2614;SI;a; ; ; ;5290;0;0;0;5290;12344;0;0;0;12344;24757;Barranquilla;Barranquilla;99;5
441772;2012;0;0;0;0;29;0;0;0;29;NO; ; ; ; ;0;0;0;0;0;8020;0;0;0;8020;14280;Barranquilla;Barranquilla;99;5
441802;2012;0;0;500;500;480;1500;0;0;1980;NO; ; ; ; ;0;0;0;0;0;4200;0;0;0;4200;6938;Barranquilla;Barranquilla;99;5
441854;2012;0;0;0;0;0;2930;0;0;2930;SI; ; ;c; ;0;0;10480;0;10480;0;0;0;0;0;0;Barranquilla;Barranquilla;99;5
297826799;2012;0;0;0;0;209;0;0;0;209;NO; ; ; ; ;0;0;0;0;0;3650;0;0;0;3650;5618;Bogotá;Bogotá;99;5
297718659;2012;0;0;0;0;231;0;0;0;231;NO; ; ; ; ;0;0;0;0;0;3222;0;0;0;3222;5023;Bogotá;Bogotá;99;5
297826796;2012;0;0;0;0;275;0;0;0;275;NO; ; ; ; ;0;0;0;0;0;4089;0;0;0;4089;6260;Bogotá;Bogotá;99;5
297827958;2012;0;0;0;0;556;0;0;0;556;NO; ; ; ; ;0;0;0;0;0;10301;0;0;0;10301;20327;Bogotá;Bogotá;99;5
297827000;2012;0;0;0;0;456;0;0;0;456;NO; ; ; ; ;0;0;0;0;0;6872;0;0;0;6872;15865;Bogotá;Bogotá;99;5
414681;2012;0;0;0;0;519;0;0;0;519;SI;a; ; ; ;3296;0;0;0;3296;4945;0;0;0;4945;12642;Bogotá;Bogotá;99;5
382101;2012;0;0;0;0;583;0;0;0;583;NO; ; ; ; ;0;0;0;0;0;9634;0;0;0;9634;7778;Cali;Popayán;99;5
297826978;2012;0;0;0;0;1811;0;0;0;1811;NO; ; ; ; ;0;0;0;0;0;26728;0;0;0;26728;61719;Bogotá;Bogotá;99;5
297826677;2012;0;0;0;0;404;0;0;0;404;NO; ; ; ; ;0;0;0;0;0;6621;0;0;0;6621;10083;Bogotá;Bogotá;99;5
297826828;2012;6000;500;100;500;620;0;0;0;620;SI; ; ; ;d;1000;0;0;0;1000;8215;0;0;0;8215;12322;Bogotá;Bogotá;99;5
297826830;2012;0;0;0;0;470;0;0;0;470;NO; ; ; ; ;0;0;0;0;0;6626;0;0;0;6626;9876;Bogotá;Bogotá;99;5
452491;2012;0;0;0;0;150;0;0;0;150;NO; ; ; ; ;0;0;0;0;0;4200;0;0;0;4200;35705;Barranquilla;Cartagena;99;5
9807355;2012;0;2000;12000;0;2600;0;0;0;2600;SI; ;b; ; ;12600;0;0;0;12600;23400;0;0;0;23400;83002;Bogotá;Bogotá;99;5
297826832;2012;0;450;2000;0;505;0;0;0;505;SI;a; ; ; ;2241;0;0;0;2241;5228;0;0;0;5228;11481;Bogotá;Bogotá;99;5
297826833;2012;0;0;0;0;3645;0;0;0;3645;NO; ; ; ; ;0;0;0;0;0;55517;0;0;0;55517;78834;Bogotá;Bogotá;99;5
297826834;2012;4000;19471;765;0;1949;0;0;0;1949;SI; ;b; ; ;11850;0;0;0;11850;14814;0;0;0;14814;44471;Bogotá;Bogotá;99;5
452129;2012;0;1000;1000;0;228;0;0;0;228;SI;a; ; ; ;3261;0;0;0;3261;3251;0;0;0;3251;7291;Bogotá;Bogotá;99;5
9807356;2012;0;1200;2400;0;220;0;0;0;220;SI;a; ; ; ;367;0;0;0;367;3305;0;0;0;3305;5515;Bogotá;Bogotá;99;5
9807357;2012;0;1200;2400;0;378;0;0;0;378;SI;a; ; ; ;592;0;0;0;592;5328;0;0;0;5328;8880;Bogotá;Bogotá;99;5
297826941;2012;0;0;0;0;217;0;0;0;217;NO; ; ; ; ;0;0;0;0;0;3414;0;0;0;3414;4902;Bogotá;Bogotá;99;5
297826946;2012;0;0;0;500;1183;0;0;0;1183;NO; ; ; ; ;0;0;0;0;0;17600;0;0;0;17600;25256;Bogotá;Bogotá;99;5
297826982;2012;0;0;0;6500;629;0;0;0;629;NO; ; ; ; ;0;0;0;0;0;23870;0;0;0;23870;34200;Bogotá;Bogotá;99;5
