Nro_Orden_Establecimiento;Periodo;NUMHAB;NUMCAMA;IHPN;IHPT;CODSEDE;Sede;CODSUBSEDE;Subsede;NOVEDAD;ESTADO
297821674;2014;26;54;2600;1551;2;Bogotá;91;Leticia;99;5
299304550;2014;80;119;10922;6114;2;Bogotá;2;Bogotá;99;5
297827324;2014;86;142;12093;11606;2;Bogotá;2;Bogotá;99;5
299304637;2014;60;120;22396;15823;2;Bogotá;2;Bogotá;99;5
10211393;2014;70;140;8397;6513;2;Bogotá;2;Bogotá;99;5
300037392;2014;170;220;24648;24648;4;Cali;4;Cali;99;5
299303375;2014;43;108;18616;18616;2;Bogotá;2;Bogotá;99;5
299320035;2014;73;80;9488;9349;2;Bogotá;2;Bogotá;99;5
10213095;2014;249;293;18368;18053;2;Bogotá;2;Bogotá;99;5
300470904;2014;64;70;739;505;2;Bogotá;2;Bogotá;99;5
10213101;2014;64;128;3183;512;2;Bogotá;2;Bogotá;99;5
297820720;2014;68;98;15600;8600;2;Bogotá;2;Bogotá;99;5
297821600;2014;37;106;1500;1284;2;Bogotá;2;Bogotá;99;5
460017;2014;27;54;8157;2429;2;Bogotá;2;Bogotá;99;5
299303358;2014;30;84;8050;8050;2;Bogotá;2;Bogotá;99;5
297838049;2014;62;120;150;80;2;Bogotá;2;Bogotá;99;5
282655;2014;27;39;2976;2406;2;Bogotá;13;Neiva;99;5
207124;2014;25;43;2555;2430;2;Bogotá;2;Bogotá;99;5
451953;2014;35;100;992;675;2;Bogotá;2;Bogotá;99;5
394691;2014;57;342;10634;8772;2;Bogotá;2;Bogotá;99;5
297566684;2014;29;60;10386;9194;2;Bogotá;2;Bogotá;99;5
297730516;2014;29;39;6854;4319;2;Bogotá;2;Bogotá;99;5
297837484;2014;51;68;7771;3895;2;Bogotá;2;Bogotá;99;5
298405690;2014;52;232;13395;5498;2;Bogotá;2;Bogotá;99;5
299303362;2014;16;36;4144;2763;2;Bogotá;2;Bogotá;99;5
296886227;2014;58;60;9025;8514;2;Bogotá;2;Bogotá;99;5
297718270;2014;64;68;22742;15161;2;Bogotá;2;Bogotá;99;5
452147;2014;29;88;10585;6455;3;Bucaramanga;3;Bucaramanga;99;5
296886218;2014;65;112;23725;16762;3;Bucaramanga;3;Bucaramanga;99;5
297839501;2014;98;183;24791;22622;2;Bogotá;2;Bogotá;99;5
382102;2014;134;164;48462;40385;3;Bucaramanga;3;Bucaramanga;99;5
297826761;2014;59;135;9379;6859;3;Bucaramanga;3;Bucaramanga;99;5
296914019;2014;53;72;8432;8432;3;Bucaramanga;3;Bucaramanga;99;5
297826917;2014;161;268;22070;15536;3;Bucaramanga;3;Bucaramanga;99;5
297826729;2014;60;205;19718;11498;3;Bucaramanga;3;Bucaramanga;99;5
297826888;2014;9;51;1517;606;3;Bucaramanga;3;Bucaramanga;99;5
297826958;2014;54;91;9924;9924;3;Bucaramanga;3;Bucaramanga;99;5
452268;2014;77;217;36256;22388;3;Bucaramanga;3;Bucaramanga;99;5
452269;2014;8;35;1797;807;3;Bucaramanga;3;Bucaramanga;99;5
407128;2014;40;60;10345;9384;3;Bucaramanga;3;Bucaramanga;99;5
297826915;2014;38;107;4672;4672;3;Bucaramanga;3;Bucaramanga;99;5
297827245;2014;83;166;15484;13935;3;Bucaramanga;3;Bucaramanga;99;5
420510;2014;55;110;6480;6200;3;Bucaramanga;3;Bucaramanga;99;5
297823964;2014;84;242;11957;10490;3;Bucaramanga;3;Bucaramanga;99;5
297822876;2014;60;155;9982;9982;3;Bucaramanga;3;Bucaramanga;99;5
444344;2014;84;126;20963;3400;3;Bucaramanga;3;Bucaramanga;99;5
297824118;2014;92;137;9540;7089;3;Bucaramanga;3;Bucaramanga;99;5
297827338;2014;42;50;5900;5900;3;Bucaramanga;3;Bucaramanga;99;5
297819782;2014;48;86;11158;5113;3;Bucaramanga;3;Bucaramanga;99;5
452141;2014;59;89;12641;9778;3;Bucaramanga;3;Bucaramanga;99;5
444253;2014;73;270;24082;13192;3;Bucaramanga;3;Bucaramanga;99;5
452143;2014;27;78;5994;5994;3;Bucaramanga;3;Bucaramanga;99;5
299304551;2014;188;98915;25160;25000;3;Bucaramanga;3;Bucaramanga;99;5
300037454;2014;67;175;10726;10726;3;Bucaramanga;3;Bucaramanga;99;5
297820704;2014;49;98;11388;11061;3;Bucaramanga;3;Bucaramanga;99;5
297822007;2014;41;88;11103;11103;3;Bucaramanga;3;Bucaramanga;99;5
446012;2014;19;21;6840;480;3;Bucaramanga;3;Bucaramanga;99;5
297827422;2014;42;85;11805;4215;3;Bucaramanga;3;Bucaramanga;99;5
297838190;2014;72;198;24333;15812;4;Cali;4;Cali;99;5
455239;2014;70;95;16316;9585;4;Cali;4;Cali;99;5
297826717;2014;145;290;52297;35082;4;Cali;4;Cali;99;5
297826765;2014;47;72;7577;4072;4;Cali;4;Cali;99;5
297826766;2014;59;178;14619;8959;4;Cali;4;Cali;99;5
297821302;2014;60;90;19532;4850;4;Cali;4;Cali;99;5
297826771;2014;73;121;21071;14368;4;Cali;4;Cali;99;5
297821622;2014;106;173;37025;18443;4;Cali;4;Cali;99;5
452422;2014;32;62;9500;9420;5;Manizales;5;Manizales;99;5
452426;2014;108;148;37646;31653;5;Manizales;11;Ibagué;99;5
9807415;2014;92;183;24259;11763;2;Bogotá;2;Bogotá;99;5
296886245;2014;168;336;49113;29751;6;Medellín;6;Medellín;99;5
296886246;2014;106;174;32893;14903;2;Bogotá;2;Bogotá;99;5
296886247;2014;92;153;27152;11278;2;Bogotá;2;Bogotá;99;5
296886248;2014;65;130;23064;19800;5;Manizales;5;Manizales;99;5
296886249;2014;46;92;13000;12569;5;Manizales;5;Manizales;99;5
296886250;2014;129;316;61829;30686;1;Barranquilla;16;Santa Marta;99;5
297718282;2014;190;656;131317;99099;1;Barranquilla;9;Cartagena;99;5
297730369;2014;214;260;60649;28473;2;Bogotá;2;Bogotá;99;5
297730371;2014;109;157;18713;8808;2;Bogotá;2;Bogotá;99;5
297730372;2014;32;41;9364;2849;2;Bogotá;2;Bogotá;99;5
297730373;2014;206;235;66124;60784;1;Barranquilla;1;Barranquilla;99;5
297730375;2014;134;178;53253;41586;6;Medellín;6;Medellín;99;5
297730377;2014;105;182;39659;13220;2;Bogotá;17;Tunja;99;5
297730504;2014;57;164;15296;8283;6;Medellín;6;Medellín;99;5
297730506;2014;42;324;11371;11371;5;Manizales;11;Ibagué;99;5
297730507;2014;122;127;29927;10731;2;Bogotá;2;Bogotá;99;5
297838052;2014;292;384;77411;40949;4;Cali;4;Cali;99;5
296914052;2014;186;255;61570;52196;4;Cali;4;Cali;99;5
297826920;2014;67;165;9241;9235;4;Cali;4;Cali;99;5
446013;2014;26;107;6860;4330;4;Cali;4;Cali;99;5
452409;2014;42;133;16070;15414;4;Cali;4;Cali;99;5
297826959;2014;61;99;10579;7479;4;Cali;4;Cali;99;5
297824068;2014;58;83;10064;8385;4;Cali;4;Cali;99;5
306981;2014;73;75;17788;15426;4;Cali;4;Cali;99;5
297730524;2014;77;214;32824;16320;4;Cali;14;Pasto;99;5
297826949;2014;47;120;16830;4730;4;Cali;4;Cali;99;5
297826764;2014;79;200;7417;2891;4;Cali;4;Cali;99;5
297826736;2014;191;307;29615;26092;4;Cali;4;Cali;99;5
297826872;2014;49;77;10388;8896;4;Cali;4;Cali;99;5
297826769;2014;66;100;22090;16010;4;Cali;4;Cali;99;5
297826768;2014;40;66;4211;4187;4;Cali;4;Cali;99;5
297827862;2014;226;291;70424;27337;4;Cali;4;Cali;99;5
444764;2014;38;90;11991;7994;4;Cali;4;Cali;99;5
455224;2014;181;227;40230;26871;4;Cali;4;Cali;99;5
297820355;2014;19;38;3572;3531;4;Cali;4;Cali;99;5
300037391;2014;127;188;21091;10647;4;Cali;4;Cali;99;5
10402258;2014;105;133;19106;16158;4;Cali;4;Cali;99;5
297820747;2014;32;58;5236;3498;4;Cali;4;Cali;99;5
405862;2014;60;203;5700;4009;4;Cali;4;Cali;99;5
440880;2014;45;75;3892;1681;4;Cali;4;Cali;99;5
299303283;2014;78;151;19575;17528;5;Manizales;5;Manizales;99;5
375000;2014;100;145;25124;16749;5;Manizales;5;Manizales;99;5
455637;2014;56;470;96633;33317;5;Manizales;5;Manizales;99;5
7070958;2014;29;289;51865;18205;5;Manizales;5;Manizales;99;5
297718288;2014;21;110;7450;2785;5;Manizales;5;Manizales;99;5
297826773;2014;58;120;9501;6784;5;Manizales;5;Manizales;99;5
297822411;2014;38;70;7813;6146;5;Manizales;5;Manizales;99;5
455231;2014;10;20;2046;1073;5;Manizales;5;Manizales;99;5
252648;2014;12;29;2506;1318;5;Manizales;5;Manizales;99;5
297826671;2014;51;146;17076;11384;6;Medellín;6;Medellín;99;5
297718664;2014;28;60;2256;668;6;Medellín;6;Medellín;99;5
297826675;2014;71;142;33329;22314;6;Medellín;6;Medellín;99;5
297826976;2014;98;196;47880;31920;6;Medellín;6;Medellín;99;5
297718666;2014;55;66;14516;13411;6;Medellín;6;Medellín;99;5
452177;2014;38;85;9780;8880;6;Medellín;6;Medellín;99;5
297826851;2014;181;391;82012;78472;6;Medellín;6;Medellín;99;5
297718265;2014;84;240;31872;28858;6;Medellín;6;Medellín;99;5
296886274;2014;55;110;10896;10896;6;Medellín;6;Medellín;99;5
296886224;2014;46;113;13439;4045;6;Medellín;6;Medellín;99;5
299303330;2014;76;183;31775;9045;6;Medellín;6;Medellín;99;5
297826800;2014;98;259;81753;35545;6;Medellín;6;Medellín;99;5
297718269;2014;123;210;74803;50887;6;Medellín;6;Medellín;99;5
299303276;2014;294;376;81837;59417;6;Medellín;6;Medellín;99;5
446746;2014;54;127;10092;6237;6;Medellín;6;Medellín;99;5
296886259;2014;24;84;20944;10472;6;Medellín;6;Medellín;99;5
296886263;2014;24;48;8144;6048;6;Medellín;6;Medellín;99;5
296886264;2014;48;196;33398;19646;6;Medellín;6;Medellín;99;5
375263;2014;136;339;57241;40175;6;Medellín;6;Medellín;99;5
297730508;2014;148;211;52619;51290;6;Medellín;6;Medellín;99;5
375941;2014;64;138;9237;7698;6;Medellín;6;Medellín;99;5
457974;2014;108;288;71502;35930;6;Medellín;6;Medellín;99;5
9787477;2014;84;180;14953;7519;6;Medellín;6;Medellín;99;5
297826674;2014;37;120;13806;5403;6;Medellín;6;Medellín;99;5
297730522;2014;30;90;22926;7642;6;Medellín;6;Medellín;99;5
296886268;2014;63;170;2872;1094;6;Medellín;6;Medellín;99;5
297826643;2014;167;334;101743;68784;6;Medellín;6;Medellín;99;5
452356;2014;140;176;34730;28942;6;Medellín;6;Medellín;99;5
297718296;2014;78;209;15405;14416;6;Medellín;6;Medellín;99;5
297826775;2014;30;51;5410;5247;6;Medellín;6;Medellín;99;5
297823526;2014;33;88;11999;7315;6;Medellín;6;Medellín;99;5
452330;2014;96;220;57663;34947;6;Medellín;6;Medellín;99;5
297718304;2014;72;152;16859;6675;6;Medellín;6;Medellín;99;5
297822869;2014;139;247;22931;13059;6;Medellín;6;Medellín;99;5
297823386;2014;54;108;5451;3360;6;Medellín;6;Medellín;99;5
297823000;2014;78;132;19436;13503;6;Medellín;6;Medellín;99;5
297823579;2014;32;45;3286;2194;6;Medellín;6;Medellín;99;5
297823739;2014;115;165;34836;24596;6;Medellín;6;Medellín;99;5
452170;2014;20;100;3930;1965;6;Medellín;6;Medellín;99;5
452474;2014;28;110;10780;7187;6;Medellín;6;Medellín;99;5
297823404;2014;27;81;9066;3791;6;Medellín;6;Medellín;99;5
297718335;2014;37;122;5842;4131;6;Medellín;6;Medellín;99;5
443827;2014;98;158;42044;18280;6;Medellín;6;Medellín;99;5
2506951;2014;96;125;8395;3776;6;Medellín;6;Medellín;99;5
297823428;2014;150;342;11757;10035;6;Medellín;6;Medellín;99;5
444270;2014;24;107;4593;2864;6;Medellín;6;Medellín;99;5
297718344;2014;70;87;30922;20434;6;Medellín;6;Medellín;99;5
297839768;2014;216;454;87285;64985;6;Medellín;6;Medellín;99;5
297718343;2014;42;52;11169;6822;6;Medellín;6;Medellín;99;5
299303370;2014;46;58;10219;5397;6;Medellín;6;Medellín;99;5
297819344;2014;127;266;74208;61840;6;Medellín;6;Medellín;99;5
297718668;2014;40;103;8074;4320;6;Medellín;6;Medellín;99;5
297823165;2014;42;160;30708;15695;6;Medellín;6;Medellín;99;5
297823405;2014;31;114;8648;6462;6;Medellín;6;Medellín;99;5
138497;2014;50;120;6935;4380;6;Medellín;6;Medellín;99;5
297826789;2014;19;30;1006;503;6;Medellín;6;Medellín;99;5
297823865;2014;168;196;10304;486;6;Medellín;6;Medellín;99;5
299381137;2014;97;172;7902;7331;6;Medellín;6;Medellín;99;5
10400085;2014;79;125;39257;33789;6;Medellín;6;Medellín;99;5
451490;2014;75;192;18404;11175;5;Manizales;7;Pereira;99;5
297839503;2014;22;104;10931;10930;5;Manizales;7;Pereira;99;5
452201;2014;43;94;20471;20471;5;Manizales;7;Pereira;99;5
