Nro_Orden_Establecimiento;Periodo;C3RHE1;C3RHE2;C3RHE5;PROGAHORR;TOTALARH;C3RHC1PTU;C3RHC4RCASUP;C3RHC5RCASUB;C3RHC6PMS;MULTABAS;C3RHC7TOGT;C3RHA1cAC;C3RHA1dAC;VOCONSBL;VACONSBLQ;C3RHA5cCT;C3RHA5dCT;VOLBOTLL;VRBOTLL;C3RHA6cALL;C3RHA7cTVU1;C3RHA7dTVPCA;C3RHA2aSUP;C3RHA2bSUP;FECHADESDESUP;FECHAHASTASUP;C3RHA2cSUP;C3RHA3aSUB;C3RHA3bSUB;FECHADESDESUB;FECHAHASTASUB;C3RHA3cSUB;C3RHA4aAM;C3RHA4bAM;FECHADESDEMAR;FECHAHASTAMAR;C3RHA4cAM;C3RHA7aTVC;C3RHA7bTPC;C3RHA7cTVU2;C3RHA7cTVU;CODSEDE;Sede;CODSUBSEDE;Subsede;NOVEDAD;ESTADO
10101289;2014;0;0;0;0;0;7;0;0;0;0;7;4048;10646;0;0;0;0;0;0;0;4048;10646;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;4048;1;Barranquilla;1;Barranquilla;99;5
10101290;2014;0;0;0;0;0;5;0;0;0;0;5;2792;7343;0;0;0;0;0;0;0;2792;7343;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;2792;1;Barranquilla;1;Barranquilla;99;5
297818562;2014;0;0;0;0;0;10;0;0;0;0;10;6599;16009;0;0;0;0;0;0;0;6599;16009;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;6599;1;Barranquilla;1;Barranquilla;99;5
297826799;2014;0;0;300;200;500;16;0;0;0;0;16;3065;7611;0;0;0;0;1;288;0;3066;7899;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;3066;2;Bogotá;2;Bogotá;99;5
297718659;2014;0;6211;3650;4930;14791;12;0;0;0;0;12;2385;5991;0;0;0;0;0;0;0;2385;5991;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;2385;2;Bogotá;2;Bogotá;99;5
297826796;2014;0;0;0;0;0;28;0;0;0;0;28;5594;14046;0;0;0;0;2;770;0;5596;14816;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;5596;2;Bogotá;2;Bogotá;99;5
297827958;2014;0;0;1021;0;1021;62;0;0;0;0;62;12193;30000;0;0;0;0;4;1227;0;12197;31227;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;12197;2;Bogotá;2;Bogotá;99;5
297827000;2014;0;0;0;0;0;27;0;0;0;0;27;5285;13271;0;0;0;0;1;84;0;5286;13355;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;5286;2;Bogotá;2;Bogotá;99;5
414681;2014;0;0;3500;0;3500;40;0;0;0;0;40;7743;19443;0;0;0;0;0;0;5;7748;19443;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;7748;2;Bogotá;2;Bogotá;99;5
382101;2014;0;0;0;0;0;20;0;0;0;0;20;6847;7603;0;0;0;0;0;0;0;6847;7603;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;6847;4;Cali;15;Popayán;99;5
297826978;2014;0;0;0;0;0;141;0;0;0;0;141;27625;68967;0;0;0;0;0;0;0;27625;68967;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;27625;2;Bogotá;2;Bogotá;99;5
297826677;2014;0;0;3500;0;3500;23;0;0;0;0;23;4511;11458;0;0;0;0;2;960;0;4513;12418;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;4513;2;Bogotá;2;Bogotá;99;5
297826828;2014;0;0;0;1000;1000;49;0;0;0;0;49;9620;24155;0;0;0;0;0;0;0;9620;24155;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;9620;2;Bogotá;2;Bogotá;99;5
297826830;2014;0;0;0;0;0;20;0;0;0;0;20;4641;11798;0;0;0;0;0;0;0;4641;11798;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;4641;2;Bogotá;2;Bogotá;99;5
