Nro_Orden_Establecimiento;Periodo;C3RHE3;C3RHE4;C4VERTIADAPT;C6GAA1f;TOTALAVERTI;C3RHD1PTRV;C3RHD2PPVP;C3RHD3PMSV;MULTAVERT;C3RHD4TGTV;C3RHB1TAR;C3RHB2a;C3RHB2b;C3RHB2c;C3RHB2d;C3RHB3a3A;C3RHB3b3A;C3RHB3c3A;C3RHB3d3A;C3RHB3eT3A;C3RHB3a3B;C3RHB3b3B;C3RHB3c3B;C3RHB3d3B;C3RHB3eT3B;TOTVERTIDA;C3RHB4VAL;CODSEDE;Sede;CODSUBSEDE;Subsede;NOVEDAD;ESTADO
297823552;2014;0;0;0;0;0;65;0;0;0;65;SI;a; ; ; ;176;0;0;0;176;1176;0;0;0;1176;1352;2122;2;Bogotá;2;Bogotá;99;5
297826977;2014;0;0;0;0;0;224;0;0;0;224;NO; ; ; ; ;0;0;0;0;0;3146;0;0;0;3146;3146;4838;2;Bogotá;2;Bogotá;99;5
9807394;2014;0;0;0;0;0;36;0;0;0;36;SI;a; ; ; ;102;0;0;0;102;406;0;0;0;406;508;782;2;Bogotá;2;Bogotá;99;5
297826749;2014;0;0;0;0;0;72;0;0;0;72;NO; ; ; ; ;0;0;0;0;0;1354;0;0;0;1354;1354;2192;2;Bogotá;2;Bogotá;99;5
297839499;2014;0;0;0;0;0;143;0;0;0;143;NO; ; ; ; ;0;0;0;0;0;2032;0;0;0;2032;2032;3190;2;Bogotá;2;Bogotá;99;5
297827337;2014;750;0;0;0;750;274;0;0;0;274;SI;a; ; ; ;587;0;0;0;587;3331;0;0;0;3331;3918;6327;2;Bogotá;2;Bogotá;99;5
297826662;2014;0;1814;5932;177;7923;2863;0;0;0;2863;SI; ;b; ; ;15763;0;0;0;15763;23645;0;0;0;23645;39408;61435;2;Bogotá;2;Bogotá;99;5
408533;2014;0;1260;0;0;1260;179;0;0;0;179;SI;a; ; ; ;507;0;0;0;507;2046;0;0;0;2046;2553;3725;2;Bogotá;2;Bogotá;99;5
450869;2014;0;0;0;0;0;98;0;0;0;98;NO; ; ; ; ;0;0;0;0;0;1400;0;0;0;1400;1400;2114;2;Bogotá;2;Bogotá;99;5
297826835;2014;0;0;500;0;500;210;0;0;0;210;SI;a; ; ; ;1516;0;0;0;1516;1517;0;0;0;1517;3033;4852;2;Bogotá;2;Bogotá;99;5
441267;2014;0;0;0;0;0;222;0;0;0;222;NO; ; ; ; ;0;0;0;0;0;3275;0;0;0;3275;3275;5289;2;Bogotá;2;Bogotá;99;5
447079;2014;0;0;0;0;0;145;0;0;0;145;NO; ; ; ; ;0;0;0;0;0;2124;0;0;0;2124;2124;3348;2;Bogotá;2;Bogotá;99;5
297826870;2014;0;4995;7776;0;12771;4052;0;0;0;4052;SI; ;b; ; ;17363;0;0;0;17363;40514;0;0;0;40514;57877;87302;2;Bogotá;2;Bogotá;99;5
297826640;2014;0;0;0;0;0;165;0;0;0;165;SI;a; ; ; ;334;0;0;0;334;1898;0;0;0;1898;2232;3154;2;Bogotá;2;Bogotá;99;5
297826980;2014;0;0;2228;0;2228;667;0;0;0;667;SI;a; ; ; ;2683;0;0;0;2683;6263;0;0;0;6263;8946;13956;2;Bogotá;2;Bogotá;99;5
299304555;2014;0;0;0;0;0;117;0;0;0;117;NO; ; ; ; ;0;0;0;0;0;1672;0;0;0;1672;1672;2638;2;Bogotá;2;Bogotá;99;5
297826975;2014;0;0;0;0;0;348;0;0;0;348;NO; ; ; ; ;0;0;0;0;0;5056;0;0;0;5056;5056;7933;2;Bogotá;2;Bogotá;99;5
297839506;2014;0;0;0;0;0;180;0;0;0;180;NO; ; ; ; ;0;0;0;0;0;2573;0;0;0;2573;2573;4155;2;Bogotá;2;Bogotá;99;5
9807441;2014;0;0;0;0;0;7;0;0;0;7;SI;a; ; ; ;16;0;0;0;16;90;0;0;0;90;106;165;2;Bogotá;2;Bogotá;99;5
9807448;2014;0;1440;972;1600;4012;281;0;0;0;281;SI;a; ; ; ;579;0;0;0;579;3285;0;0;0;3285;3864;6134;2;Bogotá;2;Bogotá;99;5
441825;2014;121627;3053;460;0;125140;0;2107;0;0;2107;SI; ; ;c; ;0;0;21173;0;21173;0;0;0;0;0;21173;0;1;Barranquilla;16;Santa Marta;99;5
9795548;2014;0;100;2000;0;2100;0;0;0;0;0;SI;a; ; ; ;0;0;1754;0;1754;0;0;0;0;0;1754;0;2;Bogotá;18;Villavicencio;99;5
297826990;2014;0;3600;3000;0;6600;911;0;0;0;911;SI;a; ; ; ;2586;0;0;0;2586;10342;0;0;0;10342;12928;19716;2;Bogotá;2;Bogotá;99;5
297826738;2014;0;0;0;6350;6350;3344;0;0;0;3344;NO; ; ; ; ;0;0;0;0;0;47777;0;0;0;47777;47777;77159;2;Bogotá;2;Bogotá;99;5
297839497;2014;0;500;1800;0;2300;690;0;0;0;690;SI; ;b; ; ;2938;0;0;0;2938;6858;0;0;0;6858;9796;15557;2;Bogotá;2;Bogotá;99;5
297826642;2014;12744;7000;4125;0;23869;1453;0;0;0;1453;SI; ; ; ;d;6318;0;0;0;6318;14743;0;0;0;14743;21061;33381;2;Bogotá;2;Bogotá;99;5
297718322;2014;0;0;0;0;0;242;0;0;0;242;NO; ; ; ; ;0;0;0;0;0;3445;0;0;0;3445;3445;6609;2;Bogotá;2;Bogotá;99;5
9815979;2014;0;0;500;0;500;151;0;0;0;151;SI;a; ; ; ;4580;0;0;0;4580;0;0;0;0;0;4580;8066;1;Barranquilla;16;Santa Marta;99;5
299303285;2014;0;275;0;0;275;96;0;0;0;96;SI;a; ; ; ;148;0;0;0;148;842;0;0;0;842;990;1570;2;Bogotá;2;Bogotá;99;5
448987;2014;0;0;8351;0;8351;980;0;0;0;980;SI;a; ; ; ;6927;0;0;0;6927;6927;0;0;0;6927;13854;21749;2;Bogotá;2;Bogotá;99;5
